"season","week","team","opponent","gsis_id","sleeper_id","full_name","passer_gsis_id","bucket","targets","target_read_share","receptions","receiving_yards","yards_per_target","air_yards","adot","yac","epa_per_target","success_rate","first_down_rate","explosive_rate","receiving_tds","td_rate","targets_eligible","targets_charted_read","read_coverage_rate","output_class","source","read_semantics"
2026,1,"BAL","IND","00-0034975","5995","Justice Hill","00-0034796","RAW_1",1,1,1,10,10,-1,-1,11,1.13617216539569,1,1,0,0,0,1,1,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BAL","IND","00-0036550","7571","Rashod Bateman","00-0034796","RAW_2",1,1,0,0,0,23,23,,-0.83109826920554,0,0,0,0,0,1,1,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BAL","IND","00-0039064","9997","Zay Flowers","00-0034796","RAW_1",2,0.333333333333333,2,72,36,23,11.5,49,3.96185442520073,1,1,1,1,0.5,6,6,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BAL","IND","00-0039064","9997","Zay Flowers","00-0034796","RAW_2",4,0.666666666666667,3,78,19.5,68,17,34,1.28214840395958,0.75,0.75,0.5,0,0,6,6,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BAL","IND","00-0040075","12699","LaJohntay Wester","00-0034796","RAW_1",1,0.5,1,9,9,5,5,4,0.00813309487421066,1,0,0,0,0,2,2,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BAL","IND","00-0040075","12699","LaJohntay Wester","00-0034796","RAW_2",1,0.5,1,6,6,6,6,0,-0.0580226118909195,0,0,0,0,0,2,2,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BAL","IND","00-0040870","13293","Ja'Kobi Lane","00-0034796","RAW_1",1,0.333333333333333,1,11,11,7,7,4,-0.310201962653082,0,0,0,0,0,3,3,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BAL","IND","00-0040870","13293","Ja'Kobi Lane","00-0034796","RAW_2",2,0.666666666666667,0,0,0,23,11.5,,-1.85467998342938,0,0,0,0,0,3,3,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BAL","IND","00-0040879",,"Matthew Hibner","00-0034796","RAW_1",1,1,1,13,13,1,1,12,0.853725885564927,1,1,0,0,0,1,1,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
2026,1,"BUF","HOU","00-0034827","4983","D.J. Moore","00-0034857","RAW_1",7,0.875,4,57,8.14285714285714,134,19.1428571428571,5,0.316384089079552,0.428571428571429,0.428571428571429,0.285714285714286,0,0,8,8,1,"DESCRIPTIVE_ONLY","FTN Data via nflverse","0|1|2=RAW_NUMERIC_UNVERIFIED_SOURCE_CONFLICT|CHK=CHECKDOWN|DES=DESIGNED|SD=SCRAMBLE_DRILL"
