"season","through_week","feature","offense_team","defense_team","offense_rating","defense_rating","offense_percentile","defense_percentile","interaction_signal","predictive_status","confidence","output_class"
2026,3,"pass_epa_vs_pass_defense","BAL","WAS",0.0659,0.1421,0.8065,0,-0.1935,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","ARI",0.1359,-0.0045,0.9677,0.4839,0.4516,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","ATL",0.1359,-0.0361,0.9677,0.7097,0.6774,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","BAL",0.1359,-0.0455,0.9677,0.7419,0.7097,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","CAR",0.1359,-0.021,0.9677,0.5484,0.5161,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","CHI",0.1359,0.0114,0.9677,0.3871,0.3548,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","CIN",0.1359,0.0527,0.9677,0.1935,0.1613,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","CLE",0.1359,0.0291,0.9677,0.2903,0.2581,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","DAL",0.1359,0.0603,0.9677,0.1613,0.129,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","DEN",0.1359,-0.0807,0.9677,0.9355,0.9032,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","DET",0.1359,-0.0625,0.9677,0.9032,0.871,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","GB",0.1359,0.1058,0.9677,0.0968,0.0645,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","HOU",0.1359,-0.0291,0.9677,0.6452,0.6129,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","IND",0.1359,0.008,0.9677,0.4194,0.3871,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","JAX",0.1359,0.0188,0.9677,0.3548,0.3226,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","KC",0.1359,-0.0219,0.9677,0.5806,0.5484,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","LAC",0.1359,0.0295,0.9677,0.2581,0.2258,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","LAR",0.1359,-0.142,0.9677,1,0.9677,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","LV",0.1359,-0.0323,0.9677,0.6774,0.6452,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","MIA",0.1359,0.0291,0.9677,0.3226,0.2903,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","MIN",0.1359,-0.1205,0.9677,0.9677,0.9355,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","NE",0.1359,-0.0554,0.9677,0.871,0.8387,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","NO",0.1359,-0.0499,0.9677,0.8065,0.7742,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","NYG",0.1359,0.1191,0.9677,0.0645,0.0323,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","NYJ",0.1359,-0.0128,0.9677,0.5161,0.4839,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","PHI",0.1359,-0.026,0.9677,0.6129,0.5806,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","PIT",0.1359,-0.0489,0.9677,0.7742,0.7419,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","SEA",0.1359,-0.0544,0.9677,0.8387,0.8065,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","SF",0.1359,3e-04,0.9677,0.4516,0.4194,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","TB",0.1359,0.0628,0.9677,0.129,0.0968,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","TEN",0.1359,0.1358,0.9677,0.0323,0,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","BUF","WAS",0.1359,0.1421,0.9677,0,-0.0323,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","ARI",0.0172,-0.0045,0.6129,0.4839,0.0968,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","ATL",0.0172,-0.0361,0.6129,0.7097,0.3226,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","BAL",0.0172,-0.0455,0.6129,0.7419,0.3548,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","BUF",0.0172,0.0313,0.6129,0.2258,-0.1613,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","CHI",0.0172,0.0114,0.6129,0.3871,0,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","CIN",0.0172,0.0527,0.6129,0.1935,-0.1935,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","CLE",0.0172,0.0291,0.6129,0.2903,-0.0968,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","DAL",0.0172,0.0603,0.6129,0.1613,-0.2258,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","DEN",0.0172,-0.0807,0.6129,0.9355,0.5484,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","DET",0.0172,-0.0625,0.6129,0.9032,0.5161,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","GB",0.0172,0.1058,0.6129,0.0968,-0.2903,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","HOU",0.0172,-0.0291,0.6129,0.6452,0.2581,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","IND",0.0172,0.008,0.6129,0.4194,0.0323,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","JAX",0.0172,0.0188,0.6129,0.3548,-0.0323,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","KC",0.0172,-0.0219,0.6129,0.5806,0.1935,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","LAC",0.0172,0.0295,0.6129,0.2581,-0.129,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","LAR",0.0172,-0.142,0.6129,1,0.6129,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","LV",0.0172,-0.0323,0.6129,0.6774,0.2903,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","MIA",0.0172,0.0291,0.6129,0.3226,-0.0645,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","MIN",0.0172,-0.1205,0.6129,0.9677,0.5806,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","NE",0.0172,-0.0554,0.6129,0.871,0.4839,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","NO",0.0172,-0.0499,0.6129,0.8065,0.4194,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","NYG",0.0172,0.1191,0.6129,0.0645,-0.3226,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
2026,3,"pass_epa_vs_pass_defense","CAR","NYJ",0.0172,-0.0128,0.6129,0.5161,0.129,"off:PREDICTIVE|def:NOT_PREDICTIVE","LOW","MODELED"
