"season","week","game_id","gsis_id","sleeper_id","pfr_id","full_name","position","team","opponent","offensive_snaps","team_offensive_plays","snap_share_source","snap_share_derived","pass_play_personnel","team_pass_plays","route_participation","route_participation_definition","route_participation_reliability","targets","team_pass_att","target_share","receptions","air_yards","team_air_yards","air_yards_share","aDOT","targets_per_route_run","carries","team_rush_att","rush_share","position_group_rush_share","position_group_target_share","dropbacks","qb_scrambles","designed_rushes","red_zone_targets","red_zone_carries","inside_10_targets","inside_10_carries","goal_line_carries","end_zone_targets","team_rz_pass_att","team_rz_rush_att","rz_target_share","rz_carry_share","third_down_targets","third_down_carries","two_minute_targets","two_minute_carries","kick_returns","kick_return_yards","punt_returns","punt_return_yards","team_kick_returns","team_punt_returns","kick_return_opportunity_share","punt_return_opportunity_share","offense_domain_active","return_domain_active","team_offensive_plays_neutral_score_differential","overtime","prior_game_team","team_changed_since_prior_game"
2026,1,"2026_01_SF_LA","00-0036349","7136","CurlKa00","Kamren Curl","DB","LAR","SF",0,60,0,0,,33,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,33,0,0,0,255,0,,,0,27,0,,,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,5,1,0,0,FALSE,FALSE,-9.48333333333334,FALSE,,FALSE
2026,1,"2026_01_ARI_LAC","00-0036355","6797","HerbJu00","Justin Herbert","QB","LAC","ARI",55,55,1,1,,39,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",0,39,0,0,0,273,0,,,0,16,0,,,30,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,4,1,0,0,TRUE,FALSE,-5.67272727272727,FALSE,,FALSE
2026,1,"2026_01_CHI_CAR","00-0036356","6781","SimmIs00","Isaiah Simmons","DB","CAR","CHI",0,68,0,0,,46,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,46,0,0,0,366,0,,,0,22,0,,,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,7,2,0,0,FALSE,FALSE,-9.88235294117648,FALSE,,FALSE
2026,1,"2026_01_DAL_NYG","00-0036358","6786","LambCe00","CeeDee Lamb","WR","DAL","NYG",47,58,0.81,0.810344827586207,,41,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",8,41,0.195121951219512,5,90,309,0.29126213592233,11.25,,1,17,0.0588235294117647,,0.4,0,0,0,2,0,1,0,0,1,6,4,0.333333333333333,0,4,0,1,0,0,0,0,0,5,,0,,TRUE,FALSE,-8.68965517241379,FALSE,,FALSE
2026,1,"2026_01_MIA_LV","00-0036362","7023","GayJWi00","Willie Gay","LB","MIA","LV",0,55,0,0,,40,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,40,0,0,0,309,0,,,0,15,0,,,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5,1,0,0,FALSE,FALSE,-10.4545454545455,FALSE,,FALSE
2026,1,"2026_01_CHI_CAR","00-0036366","6825","GallNe00","Neville Gallimore","DL","CHI","CAR",0,75,0,0,,40,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,40,0,0,0,319,0,,,0,35,0,,,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,4,1,0,0,FALSE,FALSE,3.50666666666667,FALSE,,FALSE
2026,1,"2026_01_DEN_KC","00-0036374","7117","SneeLJ00","L'Jarius Sneed","DB","KC","DEN",0,66,0,0,,34,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,34,0,0,0,133,0,,,0,32,0,,,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,3,4,0,0,FALSE,FALSE,6.83333333333333,FALSE,,FALSE
2026,1,"2026_01_WAS_PHI","00-0036375","6896","RobeAm00","Amik Robertson","DB","WAS","PHI",0,70,0,0,,41,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,41,0,0,0,317,0,,,0,29,0,,,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,5,4,0,0,FALSE,FALSE,-5.57142857142857,FALSE,,FALSE
2026,1,"2026_01_DEN_KC","00-0036380","7069","GilmAl00","Alohi Gilman","DB","KC","DEN",0,66,0,0,,34,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,34,0,0,0,133,0,,,0,32,0,,,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,3,4,0,0,FALSE,FALSE,6.83333333333333,FALSE,,FALSE
2026,1,"2026_01_GB_MIN","00-0036388","6788","McKiXa00","Xavier McKinney","DB","GB","MIN",0,68,0,0,,46,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,46,0,0,0,469,0,,,0,22,0,,,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,6,4,0,0,FALSE,FALSE,1.41176470588236,FALSE,,FALSE
