"gsis_id","depth_bin","field_third","targets","receptions","catch_rate","air_yards","yards_per_target","epa_per_target_raw","success_rate","td_rate","explosive_rate","first_down_rate","yac","targets_total","targets_charted","targets_uncharted","epa_overall","target_share_of_self","epa_per_target","evidence_class","output_class","window"
"00-0020337","INTERMEDIATE","MIDDLE",51,32,0.627450980392157,13.8627450980392,11.6470588235294,0.70700757097631,0.627450980392157,0.0588235294117647,0.372549019607843,0.588235294117647,5.1875,556,556,0,0.267609529583259,0.091726618705036,0.469495116169255,"MODERATE","OBSERVED","career"
"00-0020337","INTERMEDIATE","RIGHT",69,34,0.492753623188406,14.2753623188406,8.55072463768116,0.524161397851992,0.492753623188406,0.0434782608695652,0.304347826086957,0.478260869565217,3.20588235294118,556,556,0,0.267609529583259,0.12410071942446,0.404834947494441,"MODERATE","OBSERVED","career"
"00-0020337","DEEP","LEFT",34,16,0.470588235294118,29.9411764705882,17.7058823529412,1.11083795010756,0.470588235294118,0.176470588235294,0.470588235294118,0.470588235294118,7.5,556,556,0,0.267609529583259,0.0611510791366906,0.572607043389921,"WEAK","OBSERVED","career"
"00-0020337","DEEP","MIDDLE",13,6,0.461538461538462,32.2307692307692,14.6923076923077,0.437097876283448,0.384615384615385,0,0.461538461538462,0.461538461538462,2.33333333333333,556,556,0,0.267609529583259,0.0233812949640288,0.297792385844936,"INSUFFICIENT","OBSERVED","career"
"00-0020337","DEEP","RIGHT",29,9,0.310344827586207,30.3448275862069,11.1034482758621,0.315873241625998,0.310344827586207,0.0689655172413793,0.310344827586207,0.310344827586207,7.66666666666667,556,556,0,0.267609529583259,0.052158273381295,0.283335907664601,"WEAK","OBSERVED","career"
"00-0020494","BEHIND_LOS","LEFT",6,5,0.833333333333333,-3.66666666666667,9.16666666666667,0.566952569875866,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,14.8,155,155,0,0.166710166200204,0.0387096774193548,0.203095839261628,"INSUFFICIENT","OBSERVED","career"
"00-0020494","BEHIND_LOS","MIDDLE",1,1,1,-2,5,-0.396463166223839,0,0,0,0,7,155,155,0,0.166710166200204,0.00645161290322581,0.157477816488335,"INSUFFICIENT","OBSERVED","career"
"00-0020494","BEHIND_LOS","RIGHT",9,8,0.888888888888889,-4,4.11111111111111,-0.421507224032369,0.333333333333333,0,0.111111111111111,0.222222222222222,9,155,155,0,0.166710166200204,0.0580645161290323,0.0899861587785642,"INSUFFICIENT","OBSERVED","career"
"00-0020494","SHORT","LEFT",29,16,0.551724137931034,4.82758620689655,5.3448275862069,0.23277846024701,0.482758620689655,0.0344827586206897,0.103448275862069,0.482758620689655,4.625,155,155,0,0.166710166200204,0.187096774193548,0.188238037294107,"WEAK","OBSERVED","career"
"00-0020494","SHORT","MIDDLE",36,24,0.666666666666667,5.41666666666667,5.52777777777778,-0.127157727529765,0.5,0.0277777777777778,0,0.277777777777778,2.83333333333333,155,155,0,0.166710166200204,0.232258064516129,0.0565097060514656,"WEAK","OBSERVED","career"
"00-0020494","SHORT","RIGHT",27,18,0.666666666666667,5.51851851851852,6.22222222222222,0.480494925646333,0.592592592592593,0.111111111111111,0.111111111111111,0.555555555555556,3.55555555555556,155,155,0,0.166710166200204,0.174193548387097,0.264091643269693,"WEAK","OBSERVED","career"
"00-0020494","INTERMEDIATE","LEFT",10,5,0.5,12.6,8.3,-0.161226977943443,0.5,0,0.2,0.5,4.2,155,155,0,0.166710166200204,0.0645161290322581,0.119862002751112,"INSUFFICIENT","OBSERVED","career"
"00-0020494","INTERMEDIATE","MIDDLE",12,6,0.5,13.5833333333333,8.83333333333333,-0.150738247020248,0.416666666666667,0,0.416666666666667,0.416666666666667,4.16666666666667,155,155,0,0.166710166200204,0.0774193548387097,0.113802097330129,"INSUFFICIENT","OBSERVED","career"
"00-0020494","INTERMEDIATE","RIGHT",5,2,0.4,12.4,5.6,0.095894888357725,0.4,0,0,0.4,1.5,155,155,0,0.166710166200204,0.032258064516129,0.161262837135398,"INSUFFICIENT","OBSERVED","career"
"00-0020494","DEEP","LEFT",7,3,0.428571428571429,28.2857142857143,11.8571428571429,0.898399187850633,0.428571428571429,0.285714285714286,0.428571428571429,0.428571428571429,3,155,155,0,0.166710166200204,0.0451612903225806,0.243155287865174,"INSUFFICIENT","OBSERVED","career"
"00-0020494","DEEP","MIDDLE",6,4,0.666666666666667,29.8333333333333,32.6666666666667,2.19871037870568,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,17.25,155,155,0,0.166710166200204,0.0387096774193548,0.351437458246157,"INSUFFICIENT","OBSERVED","career"
"00-0020494","DEEP","RIGHT",7,1,0.142857142857143,27,3.71428571428571,-0.722467701364406,0.142857142857143,0,0.142857142857143,0.142857142857143,5,155,155,0,0.166710166200204,0.0451612903225806,0.0738109860068868,"INSUFFICIENT","OBSERVED","career"
"00-0020498","BEHIND_LOS","LEFT",14,13,0.928571428571429,-1.64285714285714,3.78571428571429,0.00911779268478441,0.285714285714286,0,0.0714285714285714,0.142857142857143,5.76923076923077,369,369,0,0.0477744224263293,0.037940379403794,0.0404610059887397,"INSUFFICIENT","OBSERVED","career"
"00-0020498","BEHIND_LOS","MIDDLE",0,0,,,,,,,,,,369,369,0,0.0477744224263293,0,0.0477744224263293,"INSUFFICIENT","OBSERVED","career"
"00-0020498","BEHIND_LOS","RIGHT",13,13,1,-2.07692307692308,4.30769230769231,0.0559359236638276,0.538461538461538,0,0,0.153846153846154,6.38461538461539,369,369,0,0.0477744224263293,0.035230352303523,0.0492278404549249,"INSUFFICIENT","OBSERVED","career"
"00-0020498","SHORT","LEFT",49,26,0.530612244897959,4.91836734693878,5.28571428571429,0.0932745526476151,0.510204081632653,0.0408163265306122,0.0408163265306122,0.387755102040816,4.69230769230769,369,369,0,0.0477744224263293,0.132791327913279,0.0682286094065404,"MODERATE","OBSERVED","career"
"00-0020498","SHORT","MIDDLE",45,23,0.511111111111111,5.57777777777778,4.02222222222222,-0.223581296555384,0.444444444444444,0.0888888888888889,0,0.288888888888889,2.39130434782609,369,369,0,0.0477744224263293,0.121951219512195,-0.0685208857086907,"MODERATE","OBSERVED","career"
"00-0020498","SHORT","RIGHT",62,45,0.725806451612903,4.41935483870968,5.69354838709677,0.161112479781733,0.564516129032258,0,0.032258064516129,0.338709677419355,3.4,369,369,0,0.0477744224263293,0.168021680216802,0.105372451574158,"MODERATE","OBSERVED","career"
"00-0020498","INTERMEDIATE","LEFT",40,22,0.55,13.675,9.125,0.158742988011954,0.55,0.025,0.35,0.55,3.09090909090909,369,369,0,0.0477744224263293,0.10840108401084,0.0921618486605792,"MODERATE","OBSERVED","career"
"00-0020498","INTERMEDIATE","MIDDLE",48,22,0.458333333333333,13.8125,7.70833333333333,-0.158889215045962,0.458333333333333,0,0.229166666666667,0.416666666666667,3,369,369,0,0.0477744224263293,0.130081300813008,-0.0440760831169113,"MODERATE","OBSERVED","career"
"00-0020498","INTERMEDIATE","RIGHT",49,23,0.469387755102041,13.8979591836735,7.53061224489796,0.116963207333861,0.469387755102041,0,0.26530612244898,0.448979591836735,1.47826086956522,369,369,0,0.0477744224263293,0.132791327913279,0.0788776376599903,"MODERATE","OBSERVED","career"
"00-0020498","DEEP","LEFT",20,7,0.35,24.35,10.35,0.19318245063038,0.35,0.05,0.35,0.35,5.14285714285714,369,369,0,0.0477744224263293,0.0542005420054201,0.084126429477342,"WEAK","OBSERVED","career"
"00-0020498","DEEP","MIDDLE",13,8,0.615384615384615,23.6923076923077,15.3846153846154,0.487117604048063,0.615384615384615,0.076923076923077,0.615384615384615,0.615384615384615,2.25,369,369,0,0.0477744224263293,0.035230352303523,0.126013619153487,"INSUFFICIENT","OBSERVED","career"
"00-0020498","DEEP","RIGHT",16,6,0.375,24.375,14,-0.148420933373323,0.3125,0,0.375,0.3125,13.5,369,369,0,0.0477744224263293,0.043360433604336,0.00647013699482349,"WEAK","OBSERVED","career"
"00-0021192","BEHIND_LOS","LEFT",0,0,,,,,,,,,,29,29,0,0.122146806591487,0,0.122146806591487,"INSUFFICIENT","OBSERVED","career"
"00-0021192","BEHIND_LOS","MIDDLE",0,0,,,,,,,,,,29,29,0,0.122146806591487,0,0.122146806591487,"INSUFFICIENT","OBSERVED","career"
"00-0021192","BEHIND_LOS","RIGHT",0,0,,,,,,,,,,29,29,0,0.122146806591487,0,0.122146806591487,"INSUFFICIENT","OBSERVED","career"
