"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","coverage_rate_pressure","evidence_class","availability","source","family","window"
"00-0035040","CLEAN",175,0.622857142857143,-0.00119154828486065,0.417142857142857,7.66285714285714,3.78899082568807,0.08,0,0,0.0285714285714286,0.0285714285714286,2.612,7,0.920152091254753,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035040","PRESSURED",67,0.432835820895522,-0.376946123741571,0.298507462686567,10.5373134328358,5.79310344827586,0.119402985074627,0,0,0.0597014925373134,0.0149253731343283,3.46829850746269,7,0.920152091254753,"WEAK","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035100","CLEAN",276,0.757246376811594,0.201865359119406,0.532608695652174,6.44927536231884,5.94736842105263,0.13768115942029,0,0,0.036231884057971,0.0507246376811594,2.35072463768116,9,1,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035100","PRESSURED",125,0.344,-0.690449804575239,0.232,7.96739130434782,5.41860465116279,0.056,0.264,0,0.04,0.032,3.21612903225806,10,1,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035228","CLEAN",2337,0.724433033804022,0.21846763992814,0.524176294394523,6.94522892597347,5.12108682811577,0.127086007702182,0,0,0.016260162601626,0.0432178005990587,2.45386007702182,30,0.957999358768836,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035228","PRESSURED",651,0.431643625192012,-0.31332943660585,0.310291858678956,8.94207836456559,5.14946619217082,0.110599078341014,0.0983102918586793,0,0.0337941628264208,0.0307219662058372,3.66220102214651,30,0.957999358768836,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035232","CLEAN",326,0.662576687116565,0.086763785557252,0.457055214723926,7.25460122699387,5.53703703703704,0.131901840490798,0,0,0.0245398773006135,0.0214723926380368,2.4886226993865,13,0.900406504065041,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035232","PRESSURED",117,0.435897435897436,-0.151302804592469,0.341880341880342,8.68965517241379,5.56862745098039,0.0769230769230769,0,0,0.0512820512820513,0.0427350427350427,3.28447863247863,12,0.900406504065041,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035264","CLEAN",133,0.68421052631579,0.136666995759018,0.533834586466165,7.32330827067669,6.24175824175824,0.150375939849624,0,0,0.0451127819548873,0.037593984962406,2.57699248120301,8,0.944444444444444,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035264","PRESSURED",71,0.366197183098592,-0.372732735453482,0.295774647887324,10.046875,7.92307692307692,0.112676056338028,0.0985915492957746,0,0.0281690140845071,0.0422535211267606,3.42225,8,0.944444444444444,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035282","CLEAN",146,0.671232876712329,0.142956206717615,0.445205479452055,6.78082191780822,5.28571428571429,0.13013698630137,0,0,0.00684931506849314,0.0205479452054794,2.54780136986301,5,1,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035282","PRESSURED",42,0.333333333333333,-1.26692079118456,0.214285714285714,7.64285714285714,4.57142857142857,0.0476190476190476,0.333333333333333,0,0,0,3.10392857142857,4,1,"WEAK","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035289","CLEAN",1255,0.69800796812749,0.188605987600147,0.506772908366534,6.72647527910685,5.12442922374429,0.119521912350598,0.000796812749003976,0,0.0199203187250996,0.0374501992031874,2.44218914604948,22,0.962032085561497,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035289","PRESSURED",544,0.411764705882353,-0.25214063901961,0.316176470588235,8.61618257261411,5.65625,0.130514705882353,0.113970588235294,0,0.0183823529411764,0.0386029411764706,3.33945833333333,22,0.962032085561497,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035577","CLEAN",113,0.699115044247788,0.117727871666484,0.47787610619469,6.98230088495575,5.54430379746835,0.123893805309735,0,0,0.0353982300884955,0.0353982300884955,2.64646902654867,7,0.914285714285714,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035577","PRESSURED",47,0.446808510638298,-0.337897814589818,0.319148936170213,8.21276595744681,6.47619047619048,0.0638297872340425,0,0,0.0851063829787234,0.0212765957446808,3.31121276595745,7,0.914285714285714,"WEAK","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035652","CLEAN",73,0.520547945205479,-0.302285765798751,0.342465753424657,8.09589041095891,4.71052631578947,0.0958904109589041,0,0,0.0273972602739726,0.0410958904109589,2.62082191780822,6,0.856115107913669,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035652","PRESSURED",46,0.434782608695652,-0.407549503287865,0.326086956521739,10.1086956521739,4.75,0.108695652173913,0,0,0.0434782608695652,0,3.43326086956522,5,0.856115107913669,"WEAK","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035704","CLEAN",699,0.643776824034335,0.14161520885581,0.450643776824035,8.12875536480687,5.57111111111111,0.137339055793991,0,0,0.0214592274678112,0.0400572246065809,2.61975107296137,21,0.967551622418879,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035704","PRESSURED",285,0.449122807017544,-0.426947539163982,0.32280701754386,7.98876404494382,5.6171875,0.115789473684211,0.0631578947368422,0,0.0456140350877193,0.0210526315789473,3.21921933085502,21,0.967551622418879,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035710","CLEAN",1733,0.71263704558569,0.188306511926147,0.517022504327755,7.0461627236007,4.64777327935223,0.128101557991922,0,0,0.0213502596653202,0.0340450086555106,2.51333929601847,30,0.947553678282295,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035710","PRESSURED",959,0.482794577685089,-0.185935267356518,0.347236704900938,8.23006833712984,4.72138228941684,0.115745568300313,0.0844629822732009,0,0.0187695516162669,0.0312825860271115,3.1734401368301,30,0.947553678282295,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035993","CLEAN",402,0.723880597014925,0.124144526152171,0.504975124378109,6.98009950248756,3.78006872852234,0.0945273631840796,0,0,0.0223880597014926,0.0223880597014926,2.30689303482587,16,0.957410562180579,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0035993","PRESSURED",160,0.425,-0.416648024320859,0.2375,9.07518796992481,2.79411764705882,0.075,0.16875,0,0.00625000000000001,0.025,3.52873684210526,12,0.957410562180579,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036212","CLEAN",1898,0.721812434141201,0.297343591055886,0.547418335089568,7.42623814541622,5.30875912408759,0.165437302423604,0,0,0.0205479452054794,0.0526870389884089,2.27323879810227,28,0.97608780870247,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036212","PRESSURED",592,0.467905405405405,-0.258008132638989,0.346283783783784,7.451171875,4.66425992779783,0.101351351351351,0.135135135135134,0,0.0337837837837838,0.0337837837837838,3.00881764705882,28,0.97608780870247,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036264","CLEAN",1181,0.712108382726503,0.351388391296378,0.550381033022862,8.23962743437765,5.41498216409037,0.169348010160881,0,0,0.0160880609652837,0.0592718035563082,2.46293384223919,26,0.99811320754717,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036264","PRESSURED",406,0.344827586206896,-0.42281325132166,0.238916256157635,10.0879765395894,6.27142857142857,0.110837438423645,0.160098522167488,0,0.0295566502463054,0.0320197044334976,3.38630612244898,26,0.99811320754717,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036312","CLEAN",67,0.701492537313433,0.047952580853802,0.477611940298507,5.95522388059702,5.08510638297872,0.0895522388059701,0,0,0.0298507462686567,0.0298507462686567,2.2995223880597,3,0.94017094017094,"WEAK","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036312","PRESSURED",43,0.302325581395349,-0.644428801742662,0.255813953488372,11.093023255814,2.76923076923077,0.162790697674419,0,0,0.0930232558139535,0,3.23944186046512,3,0.94017094017094,"WEAK","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036355","CLEAN",2419,0.723852831748656,0.277081474303128,0.538652335675899,7.02728400165357,5.22444317532838,0.146754857379082,0,0,0.0136420008267878,0.0491938817693262,2.5508022341746,31,0.972351491924446,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036355","PRESSURED",1133,0.471315092674315,-0.199200958318946,0.33892321270962,8.68979187314173,5.31273408239701,0.109443954104148,0.109443954104147,0,0.0220653133274492,0.0388349514563107,3.24740099009901,31,0.972351491924446,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036389","CLEAN",1749,0.718124642652945,0.294779904062639,0.522012578616352,8.04917095483134,5.35589171974523,0.169239565465981,0,0,0.0148656375071469,0.0468839336763865,2.62171109839817,31,0.970038910505837,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036389","PRESSURED",744,0.384408602150538,-0.317434639872725,0.293010752688172,10.0423197492163,4.6958041958042,0.116935483870968,0.142473118279571,0,0.0255376344086022,0.0376344086021506,3.74698897637795,31,0.970038910505837,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036442","CLEAN",2110,0.727014218009479,0.306413121742153,0.554502369668247,6.93364928909952,5.11082138200782,0.133175355450237,0,0,0.0161137440758294,0.0568720379146919,2.3555168326221,31,0.958817668548655,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036442","PRESSURED",777,0.498069498069498,-0.113000366233937,0.393822393822394,8.74198250728863,5,0.115830115830116,0.114543114543114,0,0.0218790218790219,0.0476190476190477,3.19518049490539,31,0.958817668548655,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036879","CLEAN",70,0.685714285714286,-0.0183445510622088,0.442857142857143,6.6,4.89583333333333,0.114285714285714,0,0,0.0142857142857143,0.0285714285714286,2.75422857142857,4,0.878260869565217,"MODERATE","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036879","PRESSURED",31,0.516129032258065,-0.472198242663346,0.258064516129032,8.38709677419355,3.625,0.0645161290322581,0,0,0.0645161290322581,0.032258064516129,3.44925806451613,4,0.878260869565217,"WEAK","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036898","CLEAN",773,0.681759379042691,0.068753813873011,0.467011642949547,7.33376455368693,4.73055028462998,0.139715394566624,0,0,0.0206985769728332,0.03751617076326,2.45616041397154,23,0.947368421052632,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036898","PRESSURED",343,0.457725947521866,-0.271608461557569,0.303206997084548,8.54984894259819,4.31847133757962,0.102040816326531,0.0349854227405248,0,0.0291545189504373,0.0320699708454811,3.19555589123867,23,0.947368421052632,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036945","CLEAN",911,0.682766190998902,0.152177011263754,0.489571899012075,7.801317233809,4.90353697749196,0.138309549945115,0,0,0.0186608122941822,0.0285400658616905,2.65232673267327,26,0.939171122994652,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0036945","PRESSURED",494,0.384615384615384,-0.380238628243373,0.275303643724697,9.87469287469288,4.76315789473684,0.11336032388664,0.176113360323887,0,0.0303643724696359,0.0526315789473684,3.67761219512195,25,0.939171122994652,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
