"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","deep_share","behind_los_share","read_share","evidence_class","availability","source","family","window"
"00-0033873","DESIGNED",297,0.925925925925926,0.14330162811925,0.518518518518519,-2.95959595959596,9.62545454545455,0.0740740740740741,0,0,0.00336700336700337,0.037037037037037,1.43255555555556,31,0,0.932659932659933,0.123492723492723,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033873","FIRST_READ",1062,0.659133709981167,0.316518094891047,0.57532956685499,9.39171374764595,5.13428571428571,0.157250470809793,0,0,0.0235404896421846,0.0546139359698682,2.2345862393968,31,0.126177024482109,0.076271186440678,0.441580041580042,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033873","PRE_SNAP_OR_ZERO",123,0.0406504065040651,-1.29634151105849,0.024390243902439,3.83870967741935,0,0,0.747967479674797,0,0.00813008130081301,0.00813008130081299,3.86363636363636,25,0,0.193548387096774,0.0511434511434511,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033873","SCRAMBLE_DRILL",296,0.449324324324324,0.183024647424299,0.415540540540541,10.7216494845361,4.72932330827068,0.162162162162162,0.0168918918918919,0,0.0337837837837838,0.0641891891891892,4.92685416666667,31,0.144329896907216,0.0378006872852234,0.123076923076923,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033873","SECOND_READ",349,0.613180515759312,0.3247560499194,0.530085959885387,11.352435530086,5.00467289719626,0.209169054441261,0,0,0.0286532951289398,0.0716332378223495,3.11448563218391,30,0.163323782234957,0.0515759312320917,0.145114345114345,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033936","CHECKDOWN",12,1,-0.852254191795499,0.25,0.5,3.83333333333333,0,0,0,0,0,2.75083333333333,5,0,0.333333333333333,0.171428571428571,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033936","DESIGNED",1,1,-0.507067959755659,0,-6,8,0,0,0,0,0,1.2,1,0,1,0.0142857142857143,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033936","FIRST_READ",41,0.780487804878049,0.250898949935374,0.609756097560976,7.1219512195122,3.125,0.048780487804878,0,0,0.024390243902439,0.024390243902439,2.20056097560976,6,0.048780487804878,0.024390243902439,0.585714285714286,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033936","PRE_SNAP_OR_ZERO",6,0,-0.973048990603865,0,10,,0,0.833333333333333,0,0,0,5.3,3,0,0,0.0857142857142857,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033936","SCRAMBLE_DRILL",3,0.333333333333333,-0.534547480336831,0.333333333333333,9,3,0,0.333333333333333,0,0,0,3.9,2,0,0,0.0428571428571429,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033936","SECOND_READ",7,0.142857142857143,-0.278807993310332,0.142857142857143,10.8571428571429,13,0.142857142857143,0,0,0,0,2.58571428571429,2,0.142857142857143,0.142857142857143,0.1,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033949","CHECKDOWN",80,0.825,-0.189660022205035,0.425,1.325,4.71212121212121,0.0375,0,0,0.025,0,2.890925,17,0,0.2625,0.140845070422535,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033949","DESIGNED",46,0.891304347826087,-0.131140628607391,0.347826086956522,-3.32608695652174,8.95121951219512,0.0869565217391304,0,0,0,0,2.06986956521739,17,0,0.91304347826087,0.0809859154929577,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033949","FIRST_READ",289,0.615916955017301,0.187588824652063,0.480968858131488,10.9377162629758,2.73595505617977,0.145328719723183,0,0,0.0311418685121107,0.0484429065743945,2.47578892733564,19,0.13840830449827,0.0346020761245675,0.508802816901408,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033949","PRE_SNAP_OR_ZERO",34,0,-2.16472100632643,0,3.54545454545455,,0,0.676470588235294,0,0,0,4.48571428571429,14,0.0909090909090909,0.363636363636364,0.0598591549295775,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
"00-0033949","SCRAMBLE_DRILL",51,0.333333333333333,-0.497802087729305,0.274509803921569,12.1428571428571,2.94117647058824,0.117647058823529,0.176470588235294,0,0.0196078431372549,0.0196078431372549,5.03265853658537,14,0.166666666666667,0.0476190476190476,0.0897887323943662,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_progression","career"
