"gsis_id","depth_bin","field_third","attempts","completions","completion_pct","air_yards","yards_per_attempt","epa_per_attempt_raw","success_rate","td_rate","int_rate","explosive_rate","first_down_rate","yac","attempts_total","attempts_charted","attempts_uncharted","epa_overall","attempt_share","epa_per_attempt","evidence_class","output_class","window"
"00-0020679","SHORT","LEFT",38,26,0.68421052631579,3.42105263157895,5.81578947368421,0.0695025420927547,0.605263157894737,0.0263157894736842,0,0.0789473684210526,0.368421052631579,5.53846153846154,283,283,0,0.0699448232773826,0.134275618374558,0.0697733264915065,"WEAK","OBSERVED","career"
"00-0020679","SHORT","MIDDLE",43,36,0.837209302325581,4.18604651162791,7.69767441860465,0.107885799712886,0.627906976744186,0,0.0232558139534884,0.0697674418604651,0.372093023255814,5.05555555555556,283,283,0,0.0699448232773826,0.151943462897526,0.085784260041719,"MODERATE","OBSERVED","career"
"00-0020679","SHORT","RIGHT",74,39,0.527027027027027,3.85135135135135,3.94594594594595,-0.508809860643096,0.391891891891892,0.0405405405405405,0.0405405405405405,0.0135135135135135,0.22972972972973,3.48717948717949,283,283,0,0.0699448232773826,0.261484098939929,-0.249665972320494,"MODERATE","OBSERVED","career"
"00-0020679","INTERMEDIATE","LEFT",10,6,0.6,15.4,11.2,0.661734413809609,0.6,0.1,0,0.5,0.6,3.33333333333333,283,283,0,0.0699448232773826,0.0353356890459364,0.154486193353415,"INSUFFICIENT","OBSERVED","career"
"00-0020679","INTERMEDIATE","MIDDLE",12,8,0.666666666666667,12.25,11.6666666666667,0.995469080342446,0.666666666666667,0,0,0.333333333333333,0.583333333333333,5,283,283,0,0.0699448232773826,0.0424028268551237,0.22419886612156,"INSUFFICIENT","OBSERVED","career"
"00-0020679","INTERMEDIATE","RIGHT",29,16,0.551724137931034,13.8965517241379,8.82758620689655,0.351270449397973,0.551724137931034,0,0.0344827586206897,0.344827586206897,0.517241379310345,2.25,283,283,0,0.0699448232773826,0.102473498233216,0.161612723923418,"WEAK","OBSERVED","career"
"00-0020679","DEEP","LEFT",12,3,0.25,27,7.75,-0.207034935439186,0.25,0,0,0.25,0.25,6.33333333333333,283,283,0,0.0699448232773826,0.0424028268551237,0.0237815301579545,"INSUFFICIENT","OBSERVED","career"
"00-0020679","DEEP","MIDDLE",11,4,0.363636363636364,33.3636363636364,15,1.09252147666517,0.363636363636364,0.272727272727273,0,0.363636363636364,0.363636363636364,9.5,283,283,0,0.0699448232773826,0.03886925795053,0.228372192112111,"INSUFFICIENT","OBSERVED","career"
"00-0020679","DEEP","RIGHT",17,9,0.529411764705882,28,16.2941176470588,0.915604728991371,0.529411764705882,0.0588235294117647,0.0588235294117647,0.529411764705882,0.529411764705882,3.66666666666667,283,283,0,0.0699448232773826,0.0600706713780919,0.256648958305146,"WEAK","OBSERVED","career"
"00-0021206","BEHIND_LOS","LEFT",93,74,0.795698924731183,-3.13978494623656,4.25806451612903,-0.239251287151283,0.365591397849462,0.010752688172043,0,0.0860215053763441,0.225806451612903,8.35135135135135,1509,1506,3,0.162134531574072,0.0617529880478088,-0.0818450837295755,"MODERATE","OBSERVED","career"
