"gsis_id","n","left_pct","middle_pct","right_pct","behind_los_pct","short_pct","intermediate_pct","deep_pct","deep_left_pct","deep_middle_pct","deep_right_pct","intermediate_middle_pct","short_middle_pct","left_pct_vs_league","middle_pct_vs_league","right_pct_vs_league","behind_los_pct_vs_league","short_pct_vs_league","intermediate_pct_vs_league","deep_pct_vs_league","deep_left_pct_vs_league","deep_middle_pct_vs_league","deep_right_pct_vs_league","intermediate_middle_pct_vs_league","short_middle_pct_vs_league","window"
"00-0026993",731,0.366621067031464,0.227086183310534,0.406292749658003,0.0875512995896033,0.507523939808482,0.243502051983584,0.161422708618331,0.06703146374829,0.0300957592339261,0.0642954856361149,0.0574555403556772,0.132694938440492,-0.00315988033527792,0.000554968709151865,0.00260491162612603,-0.0645371191790433,-0.00599334668300688,0.0273331596911098,0.0431973061709404,0.0198705326549414,0.00853750208240808,0.0147892714335909,-0.00579530921116342,0.00518014082087506,"career"
"00-0027253",189,0.417989417989418,0.211640211640212,0.37037037037037,0.148148148148148,0.486772486772487,0.238095238095238,0.126984126984127,0.0687830687830688,0.0105820105820106,0.0476190476190476,0.0529100529100529,0.142857142857143,0.0482084706226763,-0.01489100296117,-0.0333174676615063,-0.00394027062049845,-0.0267447997190017,0.0219263458027637,0.0087587245367363,0.0216221376897201,-0.0109762465695075,-0.00188716658347635,-0.0103407966567877,0.0153423452375254,"career"
"00-0027659",173,0.491329479768786,0.115606936416185,0.393063583815029,0.121387283236994,0.526011560693642,0.208092485549133,0.144508670520231,0.0578034682080925,0,0.0867052023121387,0.0173410404624277,0.0982658959537572,0.121548532402044,-0.110924278185197,-0.0106242542168478,-0.0307011355316524,0.0124942742021532,-0.0080764067433414,0.0262832680728406,0.0106425371147438,-0.0215582571515181,0.0371989881096148,-0.0459098091044128,-0.0292489016658602,"career"
"00-0027688",533,0.384615384615385,0.24015009380863,0.375234521575985,0.189493433395872,0.514071294559099,0.212007504690432,0.0844277673545966,0.050656660412758,0.0131332082551595,0.0206378986866792,0.0544090056285178,0.153846153846154,0.014834437248643,0.0136188792072487,-0.0284533164558917,0.0374050146272258,0.000554008067610967,-0.00416138760204282,-0.0337976350927941,0.00349572931940932,-0.00842504889635858,-0.0288683155158448,-0.00884184393832275,0.0263313562265364,"career"
"00-0027754",200,0.285,0.255,0.46,0.11,0.555,0.26,0.075,0.03,0.015,0.03,0.08,0.145,-0.0847809473667417,0.0284687853986184,0.0563121619681233,-0.0420884187686466,0.0414827135085116,0.0438311077075257,-0.0432254024473907,-0.0171609310933487,-0.00655825715151805,-0.019506214202524,0.0167491504331594,0.0174852023803826,"career"
"00-0027854",2011,0.360517155643958,0.201392342118349,0.438090502237693,0.151168572849329,0.574838388861263,0.170561909497762,0.103431128791646,0.0477374440576827,0.0183988065638986,0.0372948781700646,0.0377921432123322,0.140726006961711,-0.00926379172278341,-0.0251388724830326,0.034402664205816,-0.000919845919317902,0.0613211023697746,-0.045606982794712,-0.0147942736557447,0.000576512964334093,-0.0031594505876195,-0.0122113360324593,-0.0254587063545084,0.0132112093420932,"career"
"00-0027939",3936,0.391006097560976,0.201981707317073,0.407012195121951,0.134654471544715,0.474339430894309,0.269563008130081,0.121443089430894,0.0510670731707317,0.0226117886178862,0.0477642276422764,0.0678353658536585,0.101371951219512,0.0212251501942339,-0.0245495072843085,0.0033243570900745,-0.0174339472239312,-0.0391778555971795,0.053394115837607,0.00321768698350364,0.00390614207738305,0.00105353146636813,-0.00174198656024754,0.00458451628681797,-0.0261428464001052,"career"
"00-0027946",642,0.331775700934579,0.210280373831776,0.457943925233645,0.123052959501558,0.487538940809969,0.227414330218069,0.161993769470405,0.0576323987538941,0.0342679127725857,0.0700934579439252,0.0467289719626168,0.11993769470405,-0.0380052464321622,-0.016250840769606,0.0542560872017682,-0.029035459267089,-0.0259783456815196,0.0112454379255942,0.0437683670230143,0.0104714676605454,0.0127096556210676,0.0205872437414013,-0.0165218776042238,-0.00757710291556758,"career"
"00-0027948",1153,0.368603642671292,0.209887250650477,0.421509106678231,0.134431916738942,0.539462272333044,0.225498699045967,0.100607111882047,0.0381613183000867,0.0173460537727667,0.0450997398091934,0.0607111882046834,0.124024284475282,-0.00117730469544935,-0.0166439639509046,0.017821268646354,-0.0176565020297047,0.0259449858415558,0.00932980675349268,-0.0176182905653438,-0.00899961279326192,-0.00421220337875136,-0.00440647439333056,-0.00253966136215714,-0.00349051314433556,"career"
"00-0027950",766,0.35378590078329,0.199738903394256,0.446475195822454,0.172323759791123,0.507832898172324,0.219321148825065,0.100522193211488,0.0326370757180157,0.0182767624020888,0.0496083550913838,0.0613577023498695,0.108355091383812,-0.0159950465834519,-0.0267923112071258,0.0427873577905776,0.0202353410224761,-0.00568438831916462,0.00315225653259094,-0.0177032092359024,-0.014523855375333,-0.00328149474942928,0.00010214088885984,-0.00189314721697112,-0.0191597062358054,"career"
"00-0027973",5116,0.336591086786552,0.23123534010946,0.432173573103987,0.142689601250977,0.52697419859265,0.220289288506646,0.110046911649726,0.0398749022673964,0.0215011727912432,0.0486708365910868,0.0592259577795152,0.129984362783425,-0.0331898605801897,0.00470412550807886,0.0284857350721108,-0.00939881751766927,0.0134569121011621,0.00412039621417146,-0.00817849079766432,-0.00728602882595225,-5.70843602748922e-05,-0.000835377611437184,-0.00402489178732533,0.00246956516380711,"career"
"00-0027974",1686,0.369513641755635,0.195729537366548,0.434756820877817,0.0919335705812574,0.53914590747331,0.234875444839858,0.134045077105575,0.0444839857651246,0.0260972716488731,0.0634638196915777,0.0468564650059312,0.116251482799526,-0.000267305611107049,-0.0308016772348336,0.0310689828459406,-0.0601548481873892,0.0256286209818212,0.0187065525473833,0.0158196746581847,-0.00267694532822409,0.00453901449735502,0.0139576054890537,-0.0163943845609094,-0.0112633148200919,"career"
"00-0028012",341,0.346041055718475,0.263929618768328,0.390029325513196,0.0967741935483871,0.527859237536657,0.281524926686217,0.093841642228739,0.032258064516129,0.0117302052785924,0.0498533724340176,0.0850439882697947,0.152492668621701,-0.0237398916482666,0.0373984041669468,-0.0136585125186802,-0.0553142252202595,0.0143419510451684,0.0653560343937427,-0.0243837602186517,-0.0149028665772196,-0.00982805187292568,0.000347158231493623,0.0217931387029541,0.0249778710020835,"career"
"00-0028090",190,0.357894736842105,0.205263157894737,0.436842105263158,0.0842105263157895,0.547368421052632,0.205263157894737,0.163157894736842,0.068421052631579,0.0210526315789474,0.0736842105263158,0.0315789473684211,0.152631578947368,-0.0118862105246364,-0.0212680567066448,0.0331542672312812,-0.0678778924528571,0.0338511345611432,-0.0109057343977375,0.0449324922894514,0.0212601215382303,-0.000505625572570684,0.0241779963237918,-0.0316719021984195,0.025116781327751,"career"
"00-0028118",1874,0.37726787620064,0.171824973319104,0.450907150480256,0.129135538954109,0.526147278548559,0.194770544290288,0.149946638207044,0.0608324439701174,0.0133404482390608,0.0757737459978655,0.0362860192102455,0.108858057630736,0.00748692883389868,-0.0547062412822781,0.0472193124483795,-0.0229528798145377,0.0126299920570708,-0.0213983480021862,0.0317212357596531,0.0136715128767687,-0.00821780891245722,0.0262675317953416,-0.0269648303565951,-0.018656739988881,"career"
"00-0028146",31,0.32258064516129,0.258064516129032,0.419354838709677,0.161290322580645,0.516129032258065,0.258064516129032,0.0645161290322581,0.0645161290322581,0,0,0.0645161290322581,0.161290322580645,-0.0472003022054513,0.0315333015276506,0.0156670006778007,0.00920190381199856,0.00261174576657608,0.0418956238365579,-0.0537092734151326,0.0173551979389094,-0.0215582571515181,-0.049506214202524,0.00126527946541749,0.0337755249610277,"career"
