"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","coverage_rate_mz","evidence_class","availability","source","family","window"
"00-0030565","COVER_1",121,0.495867768595041,-0.00424246693460685,0.413223140495868,9.70754716981132,5.8,0.15702479338843,0.12396694214876,0,0.0165289256198347,0.0413223140495868,2.50188679245283,13,1,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0030565","COVER_2",112,0.598214285714286,-0.515798328482907,0.366071428571429,4.42718446601942,4.85074626865672,0.0446428571428571,0.0803571428571429,0,0.0803571428571428,0.0267857142857143,2.84519230769231,13,1,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0030565","COVER_3",137,0.671532846715328,-0.0970477510789957,0.437956204379562,5,6.04347826086956,0.102189781021898,0.116788321167883,0,0.0218978102189781,0.0145985401459854,2.81157024793388,13,1,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0030565","COVER_4",55,0.618181818181818,-0.0293090932437265,0.436363636363636,6.12,5.08823529411765,0.109090909090909,0.0909090909090909,0,0.0363636363636364,0.0727272727272727,2.55,12,1,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0030565","COVER_6",33,0.727272727272727,-0.143478666883752,0.484848484848485,4.29032258064516,6.79166666666667,0.121212121212121,0.0606060606060606,0,0.0303030303030303,0,2.52903225806452,9,1,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0030565","OTHER",13,0.538461538461538,-0.282416159877983,0.384615384615385,10.6363636363636,4,0.153846153846154,0.153846153846154,0,0,0,3.41818181818182,8,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0031280","2_MAN",62,0.612903225806452,0.139781044500916,0.435483870967742,8.75862068965517,3.89473684210526,0.145161290322581,0.0645161290322581,0,0.0161290322580645,0.0161290322580645,2.64103448275862,15,0.996535796766744,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0031280","COVER_0",27,0.518518518518518,0.0122752943127653,0.407407407407407,12.2962962962963,2.35714285714286,0.0740740740740741,0,0,0,0.222222222222222,2.02592592592593,13,0.996535796766744,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0031280","COVER_1",289,0.608996539792388,0.0827054147933235,0.449826989619377,8.32727272727273,4.90340909090909,0.14878892733564,0.0484429065743945,0,0.0173010380622837,0.0657439446366782,2.52061818181818,18,0.996535796766744,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0031280","COVER_2",129,0.751937984496124,0.128748888609726,0.48062015503876,5.752,5.36082474226804,0.13953488372093,0.0310077519379845,0,0.0155038759689922,0.0155038759689922,2.63408,18,0.996535796766744,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0031280","COVER_3",134,0.716417910447761,0.235198206023718,0.522388059701492,7.7984496124031,5.35416666666667,0.171641791044776,0.0373134328358209,0,0.00746268656716417,0.0149253731343283,2.48015625,17,0.996535796766744,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0031280","COVER_4",101,0.613861386138614,-0.0375398491732918,0.356435643564356,6.57731958762887,4.87096774193548,0.099009900990099,0.0396039603960396,0,0.0099009900990099,0.0297029702970297,2.57135416666667,17,0.996535796766744,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0031280","COVER_6",47,0.787234042553192,0.292189490276302,0.51063829787234,7.97777777777778,5.13513513513514,0.212765957446809,0.0425531914893617,0,0,0.0212765957446809,2.5,14,0.996535796766744,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0031280","OTHER",74,0.594594594594595,-0.209688584405773,0.391891891891892,8.38571428571429,4.84090909090909,0.121621621621622,0.0540540540540541,0,0.0405405405405405,0.081081081081081,2.68927536231884,14,0.996535796766744,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0031288","COVER_1",2,0,-1.41364601795794,0,-7,,0,0.5,0,0,0,2.5,1,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0031288","COVER_2",1,1,-1.10930083831772,0,-3,6,0,0,0,0,0,3.9,1,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0031288","COVER_3",1,1,-1.69313193671405,0,-1,0,0,0,0,0,0,2.9,1,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0031288","COVER_4",1,1,0.211979681625962,1,5,2,0,0,0,0,0,1.9,1,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0031288","COVER_6",1,1,0.166673084720969,1,-2,12,0,0,0,0,0,2.1,1,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032156","2_MAN",8,0.5,0.272213673008103,0.625,6.875,9.25,0.25,0,0,0,0,2.625,3,0.964497041420118,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032156","COVER_0",3,0,-0.968394258703429,0,0.666666666666666,,0,0,0,0,0,1.9,2,0.964497041420118,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032156","COVER_1",55,0.381818181818182,-0.402530875059487,0.254545454545455,9.22,4.9047619047619,0.0909090909090909,0.0909090909090909,0,0.0181818181818182,0.0181818181818182,2.32257142857143,5,0.964497041420118,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032156","COVER_2",11,0.545454545454545,0.0830003992199305,0.363636363636364,5.81818181818182,3.33333333333333,0.181818181818182,0,0,0,0,2.32727272727273,5,0.964497041420118,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032156","COVER_3",9,0.444444444444444,-0.809316250806053,0.222222222222222,7,7,0,0,0,0.111111111111111,0,3.68266666666667,3,0.964497041420118,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032156","COVER_4",28,0.821428571428571,0.0524959039173458,0.5,1.85714285714286,5.34782608695652,0.0357142857142857,0,0,0,0,2.14110714285714,5,0.964497041420118,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032156","COVER_6",7,0.571428571428571,-0.646624862499136,0,6.14285714285714,3.25,0,0,0,0,0,2.367,3,0.964497041420118,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032156","OTHER",42,0.619047619047619,-0.373289400073848,0.357142857142857,2.375,6.03846153846154,0.0238095238095238,0.0476190476190476,0,0.0238095238095238,0.0238095238095238,2.36829268292683,4,0.964497041420118,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032268","2_MAN",10,0.4,-0.0463532816424737,0.2,10.7777777777778,2.5,0.2,0.1,0,0,0,2.975,6,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032268","COVER_0",19,0.631578947368421,0.789660035407151,0.578947368421053,10.4736842105263,4.58333333333333,0.157894736842105,0,0,0,0.263157894736842,2.09473684210526,9,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032268","COVER_1",100,0.54,-0.0865091637606709,0.42,10.5851063829787,4.18518518518519,0.16,0.06,0,0.03,0.05,2.7563829787234,11,1,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032268","COVER_2",33,0.696969696969697,0.0871333168005511,0.515151515151515,8.6060606060606,3.60869565217391,0.151515151515152,0,0,0.0303030303030303,0,2.31121212121212,10,1,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032268","COVER_3",83,0.614457831325301,0.0153973081190402,0.55421686746988,9.78082191780822,5.2156862745098,0.156626506024096,0.120481927710843,0,0.0240963855421687,0.0120481927710843,2.7958904109589,10,1,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032268","COVER_4",25,0.64,0.211834527729659,0.48,11.0434782608696,3.75,0.2,0.08,0,0.04,0.12,3.41739130434783,9,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032268","COVER_6",5,0.8,-0.0423943709232845,0.6,10.2,3.75,0.2,0,0,0,0,2.56,4,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032268","OTHER",12,0.75,0.338701669260142,0.5,9,3.44444444444444,0.166666666666667,0,0,0,0,3.23333333333333,6,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032950","2_MAN",15,0.4,-0.31017889983235,0.266666666666667,7.72727272727273,3.5,0.133333333333333,0.266666666666667,0,0,0,3.22727272727273,3,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032950","COVER_0",6,0.5,0.738995066955492,0.5,4,0.333333333333333,0,0,0,0,0.5,2.36666666666667,4,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032950","COVER_1",42,0.452380952380952,-0.197088265914052,0.428571428571429,11.0526315789474,3.36842105263158,0.0476190476190476,0.0952380952380952,0,0.0238095238095238,0,2.60526315789474,4,1,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032950","COVER_2",42,0.642857142857143,0.130225061440746,0.571428571428572,8.11111111111111,4.7037037037037,0.166666666666667,0.142857142857143,0,0.0238095238095238,0.0238095238095238,2.66111111111111,5,1,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
"00-0032950","COVER_3",42,0.714285714285714,0.364611556436405,0.666666666666667,6.66666666666667,8.4,0.19047619047619,0.0714285714285715,0,0.0238095238095238,0,2.46666666666667,5,1,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","current_team"
