"gsis_id","deep_rate","behind_los_rate","middle_rate","intermediate_middle_rate","deep_epa","short_epa","aDOT","pressure_epa_delta","pressure_scramble_rate","play_action_rate","archetype_cluster","archetype_label_status","vector_version"
"00-0030533",0.152354570637119,0.0858725761772853,0.263157894736842,0.0969529085872576,0.0442110385590269,0.0536978481609328,10.3518005540166,-0.66960124985546,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0030565",0.111650485436893,0.177346278317152,0.223948220064725,0.0530744336569579,0.327714087960596,0.151135786427997,7.41585760517799,-0.735247641234656,0,0.2215859030837,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0031064",0.114649681528662,0.0859872611464968,0.261146496815287,0.089171974522293,0.101525173849053,-0.0166213119056032,8.85668789808917,-0.393933327463672,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0031076",0.104166666666667,0.104166666666667,0.208333333333333,0.0625,-0.0148259764967627,0.00410555882139337,6.8125,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0031237",0.108968177434908,0.164416586306654,0.202025072324012,0.0482160077145612,0.234661692595737,0.158219846984732,7.44744455159112,-0.277673780486196,0,0.233009708737864,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0031266",0.130813953488372,0.13953488372093,0.238372093023256,0.0523255813953488,-0.0328271408876911,-0.0666663024906077,8.18313953488373,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0031280",0.116880861410212,0.151441472733588,0.237582493921501,0.0637374088225078,0.461641171512738,0.0919973369805246,7.86436262591178,-0.256002014150654,0,0.181362007168459,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0031288",0.134831460674157,0.157303370786517,0.146067415730337,0.0168539325842697,0.117106632643175,0.138288912164945,7.90449438202247,-0.905651561120595,0,0,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0031345",0.0866182572614108,0.16545643153527,0.29149377593361,0.104253112033195,0.269842018830291,0.222966393538875,7.29149377593362,-0.37961360144352,0,0.215579710144928,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0031395",0.135135135135135,0.108108108108108,0.148648648648649,0.0675675675675676,-0.0063330130849284,-0.0685279301237431,8.22972972972973,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0031407",0.114111829593001,0.146443514644351,0.258273107645493,0.0741726892354507,0.1006477148731,0.0016381090141645,7.97793837961202,-0.343987074860134,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0031409",0.10546875,0.140625,0.1875,0.04296875,0.124060858712681,0.0203519656992352,8.08203125,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0031503",0.139851485148515,0.0912747524752475,0.233292079207921,0.0903465346534653,0.230533529214088,0.0357111431432536,10.1955445544554,-0.358345203833097,0,0.155080213903743,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0031568",0.138775510204082,0.151020408163265,0.171428571428571,0.0285714285714286,-0.133689368791524,-0.209645891557073,8.44081632653061,0.216685695201389,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0031589",0.124629080118694,0.172106824925816,0.195845697329377,0.0385756676557863,-0.118186226350944,-0.0596211594894973,7.73590504451039,-0.502695799651197,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0031800",0.131879543094496,0.188992731048806,0.231568016614746,0.0581516095534787,0.0749999210514897,0.0599130788082358,8.16303219106957,-0.530069512716411,0,0.211267605633803,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0032156",0.110373443983402,0.129460580912863,0.202489626556017,0.0473029045643154,-0.0232831945222441,-0.0192397747289711,7.87136929460581,-0.0758538007964796,0,0.126984126984127,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
