"team","live__plays","live__pass_rate","live__shotgun_rate","live__explosive_pass_rate","target_area__charted_pass","target_area__tgt_left","target_area__tgt_middle","target_area__tgt_right","target_area__tgt_behind_los","target_area__tgt_short","target_area__tgt_intermediate","target_area__tgt_deep","rush_area__charted_rush","rush_area__rush_left","rush_area__rush_middle","rush_area__rush_right","formation__charted_formation","formation__form_shotgun","formation__form_empty","formation__form_under_center","formation__form_singleback","formation__form_i_form","formation__form_pistol","ftn__charted_ftn","ftn__play_action_rate","ftn__motion_rate","ftn__rpo_rate","ftn__screen_rate","ftn__no_huddle_rate","box_faced__mean_box_faced","box_faced__light_box_rate","box_faced__heavy_box_rate","side","window"
"LAC",3225,0.577364341085271,0.723100775193798,0.0737984496124031,1703,0.341749853200235,0.204932472108045,0.45331767469172,0.169113329418673,0.50381679389313,0.19906048150323,0.128009395184968,,,,,1849,0.846403461330449,0,0.129259058950784,0,0,0.0243374797187669,1850,0.238378378378378,0.528108108108108,0.027027027027027,0.0762162162162162,0.0967567567567568,6.69773299748111,0.473551637279597,0.153652392947103,"offense","recent"
"LAR",3230,0.568421052631579,0.51702786377709,0.0857585139318885,1732,0.396651270207852,0.209006928406467,0.394341801385681,0.136836027713626,0.528868360277136,0.213048498845266,0.121247113163972,,,,,1820,0.653296703296703,0,0.286263736263736,0,0,0.0604395604395604,1820,0.271978021978022,0.641208791208791,0.00714285714285714,0.0868131868131868,0.125824175824176,6.59619771863118,0.530798479087452,0.118631178707224,"offense","recent"
"LV",3035,0.615485996705107,0.645469522240527,0.0665568369028007,1697,0.383028874484384,0.208014142604596,0.408956982911019,0.179728933411903,0.540954625810253,0.17796110783736,0.101355332940483,,,,,1850,0.822162162162162,0,0.166486486486486,0,0,0.0113513513513514,1851,0.211237169097785,0.516477579686656,0.0183684494867639,0.0848190167477039,0.110210696920583,6.63468634686347,0.506457564575646,0.145756457564576,"offense","recent"
"MIA",3094,0.56819650937298,0.760504201680672,0.0801551389786684,1628,0.409090909090909,0.198402948402948,0.392506142506143,0.234643734643735,0.44041769041769,0.22972972972973,0.0952088452088452,,,,,1739,0.786083956296722,0,0.0960322024151811,0,0,0.117883841288097,1740,0.255172413793103,0.709195402298851,0.0270114942528736,0.132183908045977,0.0620689655172414,6.53846153846154,0.488782051282051,0.0761217948717949,"offense","recent"
"MIN",3085,0.591572123176661,0.529335494327391,0.0855753646677472,1658,0.369119420989144,0.207478890229192,0.423401688781665,0.173703256936068,0.479493365500603,0.226176115802171,0.120627261761158,,,,,1813,0.732487589630447,0,0.26696083838941,0,0,0.000551571980143409,1814,0.276185226019846,0.517640573318633,0.0209481808158765,0.0948180815876516,0.121278941565601,6.64088888888889,0.509333333333333,0.135111111111111,"offense","recent"
"NE",3100,0.561935483870968,0.626774193548387,0.0693548387096774,1585,0.372870662460568,0.226498422712934,0.400630914826498,0.170347003154574,0.516719242902208,0.193690851735016,0.119242902208202,,,,,1732,0.82621247113164,0,0.166281755196305,0,0,0.00750577367205543,1733,0.182342758222735,0.458742065781881,0.0207732256203116,0.0934795152914022,0.0830929024812464,6.72231686541738,0.461669505962521,0.15587734241908,"offense","recent"
"NO",3239,0.57919110836678,0.655449212719975,0.0697746217968509,1741,0.339460080413555,0.217690982194141,0.442848937392303,0.169442848937392,0.504882251579552,0.191843767949454,0.133831131533601,,,,,1861,0.839333691563675,0,0.15045674368619,0,0,0.0102095647501343,1862,0.165413533834586,0.447368421052632,0.0161117078410312,0.0805585392051558,0.151450053705693,6.65384615384615,0.481570512820513,0.142628205128205,"offense","recent"
"NYG",3220,0.567701863354037,0.727329192546584,0.0618012422360248,1623,0.391866913123845,0.199014171287739,0.409118915588417,0.18422674060382,0.514479359211337,0.187307455329636,0.113986444855206,,,,,1803,0.859678313921242,0,0.130892956184138,0,0,0.00942872989462008,1804,0.215077605321508,0.393015521064302,0.0293791574279379,0.0798226164079823,0.171286031042129,6.48724279835391,0.585185185185185,0.101234567901235,"offense","recent"
"NYJ",3094,0.607304460245637,0.695216548157725,0.0546218487394958,1696,0.38502358490566,0.193985849056604,0.420990566037736,0.190448113207547,0.540683962264151,0.169221698113208,0.0996462264150943,,,,,1858,0.820775026910657,0,0.158772874058127,0,0,0.0204520990312164,1860,0.196236559139785,0.411290322580645,0.0182795698924731,0.0903225806451613,0.112365591397849,6.53613906678865,0.537968892955169,0.11619396157365,"offense","recent"
"PHI",3247,0.502309824453341,0.83615645210964,0.0686787804126886,1505,0.432558139534884,0.13953488372093,0.427906976744186,0.137541528239203,0.533554817275747,0.207308970099668,0.121594684385382,,,,,1622,0.914303329223181,0,0.0536374845869297,0,0,0.032059186189889,1624,0.225985221674877,0.416256157635468,0.0461822660098522,0.0714285714285714,0.192733990147783,6.71238628411477,0.51294611616515,0.165150454863541,"offense","recent"
"PIT",3105,0.540096618357488,0.636392914653784,0.0621578099838969,1548,0.408268733850129,0.179586563307494,0.412144702842377,0.202196382428941,0.510335917312661,0.17312661498708,0.114341085271318,,,,,1659,0.840265220012056,0,0.149487643158529,0,0,0.0102471368294153,1663,0.199037883343355,0.429945880938064,0.0192423331328924,0.110042092603728,0.167769092002405,6.77914110429448,0.40260736196319,0.171779141104294,"offense","recent"
"SEA",3049,0.582486061003608,0.64283371597245,0.0859298130534601,1639,0.38987187309335,0.217815741305674,0.392312385600976,0.179987797437462,0.51189749847468,0.195241000610128,0.11287370347773,,,,,1756,0.808656036446469,0,0.176537585421412,0,0,0.0148063781321185,1758,0.216154721274175,0.478953356086462,0.0102389078498294,0.0938566552901024,0.160409556313993,6.50555081127242,0.567890691716482,0.120409906063194,"offense","recent"
"SF",3139,0.541892322395667,0.572793883402357,0.0869703727301688,1585,0.398738170347003,0.25993690851735,0.341324921135647,0.128706624605678,0.514826498422713,0.253627760252366,0.102839116719243,,,,,1680,0.774404761904762,0,0.20952380952381,0,0,0.0160714285714286,1682,0.200356718192628,0.691438763376932,0.00832342449464923,0.0755053507728894,0.0410225921521998,6.63727764887858,0.497293116782676,0.144624903325599,"offense","recent"
