"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","formation_share","evidence_class","availability","source","family","window"
"00-0030533","SINGLEBACK",60,0.533333333333333,0.127522763405645,0.5,10.5344827586207,6.75,0.233333333333333,0.0333333333333333,0,0.05,0.05,2.80263793103448,9,0.1875,"MODERATE","PRIOR_ONLY","participation","qb_formation","career"
"00-0030565","EMPTY",133,0.699248120300752,0.198611715167986,0.556390977443609,7.96153846153846,3.95698924731183,0.150375939849624,0.0225563909774436,0,0.0225563909774436,0.037593984962406,2.69687692307692,16,0.054530545305453,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0030565","I_FORM",13,0.384615384615385,-0.354267760842609,0.384615384615385,11.2857142857143,4.2,0.153846153846154,0.461538461538462,0,0,0.0769230769230769,3.58928571428571,9,0.005330053300533,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0030565","JUMBO",2,1,1.40001954292529,1,2,4.5,0,0,0,0,0.5,2.9195,2,0.000820008200082001,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0030565","PISTOL",88,0.704545454545454,-0.115281156889316,0.556818181818182,6.04819277108434,4.33870967741935,0.125,0.0568181818181818,0,0.0568181818181818,0.0340909090909091,2.63378313253012,20,0.036080360803608,"MODERATE","PRIOR_ONLY","participation","qb_formation","career"
"00-0030565","SHOTGUN",1872,0.620192307692308,-0.034068883018033,0.442307692307692,6.78851786760399,5.1541774332472,0.120726495726496,0.0876068376068374,0,0.0208333333333334,0.0395299145299144,2.65390398126464,30,0.767527675276753,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0030565","SINGLEBACK",115,0.68695652173913,0.197067032837203,0.51304347826087,7.43119266055046,6.56962025316456,0.208695652173913,0.0521739130434783,0,0.0173913043478261,0.0260869565217391,3.1943119266055,17,0.047150471504715,"MODERATE","PRIOR_ONLY","participation","qb_formation","career"
"00-0030565","UNDER CENTER",216,0.592592592592593,-0.0263056326794251,0.472222222222222,7.77611940298507,5.828125,0.157407407407407,0.0694444444444445,0,0.0231481481481481,0.0462962962962963,3.20653266331658,27,0.0885608856088561,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031064","EMPTY",37,0.648648648648649,0.0216288206234518,0.486486486486487,6.91428571428571,4.54166666666667,0.0540540540540541,0.0540540540540541,0,0,0.027027027027027,2.38048571428571,8,0.118210862619808,"WEAK","PRIOR_ONLY","participation","qb_formation","career"
"00-0031064","I_FORM",9,0.444444444444444,0.258373476267378,0.333333333333333,16.7777777777778,1.75,0.222222222222222,0,0,0,0,3.16588888888889,5,0.0287539936102236,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0031064","SHOTGUN",235,0.531914893617021,-0.0607845995354635,0.395744680851064,8.88789237668161,4.28,0.114893617021277,0.051063829787234,0,0.025531914893617,0.0170212765957447,2.6857802690583,8,0.750798722044728,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0031064","SINGLEBACK",32,0.5625,-0.100009153764404,0.40625,6.57142857142857,3.88888888888889,0.125,0.125,0,0,0,3.274,6,0.10223642172524,"WEAK","PRIOR_ONLY","participation","qb_formation","career"
