"gsis_id","field_third","carries","yards_per_carry","epa_per_rush_raw","success_rate","explosive_rate","stuff_rate","td_rate","first_down_rate","carries_total","carries_charted","carries_uncharted","epa_overall","carry_share","epa_per_rush","evidence_class","output_class","window"
"00-0024103","RIGHT",9,5.11111111111111,-0.045870778707063,0.444444444444444,0.111111111111111,0.111111111111111,0,0.222222222222222,43,42,1,-0.0213097331122885,0.214285714285714,-0.0245133477550852,"INSUFFICIENT","OBSERVED","career"
"00-0024204","LEFT",136,4.49264705882353,0.00998273287498628,0.463235294117647,0.102941176470588,0.154411764705882,0.0367647058823529,0.264705882352941,489,488,1,-0.0827070562820295,0.278688524590164,-0.0183916923771614,"STRONG","OBSERVED","career"
"00-0024204","MIDDLE",228,4.00877192982456,-0.0860360263590307,0.407894736842105,0.0482456140350877,0.149122807017544,0.0307017543859649,0.232456140350877,489,488,1,-0.0827070562820295,0.467213114754098,-0.0853424909263221,"STRONG","OBSERVED","career"
"00-0024204","RIGHT",124,3.44354838709677,-0.187404743411706,0.330645161290323,0.032258064516129,0.185483870967742,0.0161290322580645,0.161290322580645,489,488,1,-0.0827070562820295,0.254098360655738,-0.153264193260724,"STRONG","OBSERVED","career"
"00-0024217","LEFT",206,4.57766990291262,-0.0751966656587204,0.388349514563107,0.111650485436893,0.179611650485437,0.0533980582524272,0.20873786407767,546,546,0,-0.124609274569393,0.377289377289377,-0.0863423669167668,"STRONG","OBSERVED","career"
"00-0024217","MIDDLE",150,4.1,-0.129076608824927,0.38,0.0866666666666667,0.22,0.00666666666666667,0.173333333333333,546,546,0,-0.124609274569393,0.274725274725275,-0.12780022760906,"STRONG","OBSERVED","career"
"00-0024217","RIGHT",190,3.97894736842105,-0.174656102449752,0.326315789473684,0.0736842105263158,0.215789473684211,0.00526315789473683,0.173684210526316,546,546,0,-0.124609274569393,0.347985347985348,-0.162644863758466,"STRONG","OBSERVED","career"
"00-0024226","LEFT",10,4.9,-0.239650384264996,0.4,0.1,0.4,0,0.2,34,23,11,-0.529991296191279,0.434782608695652,-0.488514023058953,"INSUFFICIENT","OBSERVED","career"
"00-0024226","MIDDLE",2,-2.5,-0.333639550401131,0.5,0,0.5,0,0.5,34,23,11,-0.529991296191279,0.0869565217391304,-0.523657368907726,"INSUFFICIENT","OBSERVED","career"
"00-0024226","RIGHT",11,5.09090909090909,0.261302723030729,0.818181818181818,0.0909090909090909,0,0,0.636363636363636,34,23,11,-0.529991296191279,0.478260869565217,-0.407396448142799,"INSUFFICIENT","OBSERVED","career"
