"team","run_gap","carries_allowed","yards_per_carry_allowed","epa_per_rush_allowed","success_rate_allowed","explosive_rate_allowed","evidence_class","output_class","window"
"DEN","END",978,4.6278118609407,-0.064730681242957,0.393660531697341,0.101226993865031,"STRONG","OBSERVED","career"
"DEN","GUARD",1313,3.82330540746383,-0.119081368808903,0.353389185072354,0.0472201066260472,"STRONG","OBSERVED","career"
"DEN","TACKLE",1323,4.3968253968254,-0.0601131585324367,0.363567649281935,0.0702947845804989,"STRONG","OBSERVED","career"
"DET","END",1414,4.84865629420085,-0.0226754789604,0.424328147100424,0.106082036775106,"STRONG","OBSERVED","career"
"DET","GUARD",764,4.18455497382199,-0.0625464649768946,0.3782722513089,0.056282722513089,"STRONG","OBSERVED","career"
"DET","TACKLE",1584,4.35164141414141,-0.0771006405094778,0.378156565656566,0.067550505050505,"STRONG","OBSERVED","career"
"GB","END",1428,4.84803921568628,0.0219840937622973,0.434173669467787,0.119047619047619,"STRONG","OBSERVED","career"
"GB","GUARD",1314,4.01978691019787,-0.0199938695845232,0.423896499238965,0.0487062404870624,"STRONG","OBSERVED","career"
"GB","TACKLE",1399,4.58970693352395,-0.0152888795739256,0.408863473909936,0.0786275911365261,"STRONG","OBSERVED","career"
"HOU","END",1163,5.12897678417884,0.0155457324396567,0.447979363714532,0.13585554600172,"STRONG","OBSERVED","career"
"HOU","GUARD",1494,4.22088353413655,-0.0689292247859803,0.370147255689424,0.0642570281124498,"STRONG","OBSERVED","career"
"HOU","TACKLE",1266,4.41074249605056,-0.0713296443141304,0.373617693522907,0.0813586097946288,"STRONG","OBSERVED","career"
"IND","END",1434,4.87726638772663,-0.0180290554772747,0.410041841004184,0.113668061366806,"STRONG","OBSERVED","career"
"IND","GUARD",1112,3.59442446043166,-0.118264542542619,0.363309352517986,0.0494604316546763,"STRONG","OBSERVED","career"
"IND","TACKLE",1313,4.27418126428028,-0.0769837853324802,0.384615384615385,0.0715917745620716,"STRONG","OBSERVED","career"
"JAX","END",1675,4.61492537313433,-0.0209792744849709,0.413731343283582,0.114029850746269,"STRONG","OBSERVED","career"
"JAX","GUARD",951,4.15878023133543,-0.0640517455482971,0.378548895899054,0.0630914826498423,"STRONG","OBSERVED","career"
"JAX","TACKLE",888,4.52815315315315,-0.0598430471269347,0.36036036036036,0.0777027027027027,"STRONG","OBSERVED","career"
