"gsis_id","run_gap","carries","yards_per_carry","epa_per_rush_raw","success_rate","explosive_rate","stuff_rate","epa_overall","epa_per_rush","evidence_class","output_class","window"
"00-0040198","GUARD",18,1.55555555555556,-0.171358927654386,0.333333333333333,0.0555555555555556,0.388888888888889,-0.136731197137878,-0.144722211872457,"WEAK","OBSERVED","career"
"00-0040198","TACKLE",17,3.76470588235294,0.184012588247082,0.411764705882353,0.0588235294117647,0.176470588235294,-0.136731197137878,-0.0659176341308088,"WEAK","OBSERVED","career"
"00-0040202","END",6,9.16666666666667,0.646475618161882,0.833333333333333,0.333333333333333,0,-0.138041950241977,-0.0667221712961718,"INSUFFICIENT","OBSERVED","career"
"00-0040202","GUARD",18,2.44444444444444,-0.474148951968851,0.222222222222222,0,0.222222222222222,-0.138041950241977,-0.21560510448664,"WEAK","OBSERVED","career"
"00-0040202","TACKLE",14,2.64285714285714,-0.200926210646035,0.285714285714286,0.0714285714285714,0.285714285714286,-0.138041950241977,-0.149938972480583,"INSUFFICIENT","OBSERVED","career"
"00-0040236","END",20,6.05,0.0465072313207202,0.4,0.15,0.25,0.0214706505005458,0.0277297957055894,"WEAK","OBSERVED","career"
"00-0040236","GUARD",59,3.64406779661017,-0.0895339517708141,0.338983050847458,0.0338983050847458,0.186440677966102,0.0214706505005458,-0.0335652447432377,"MODERATE","OBSERVED","career"
"00-0040236","TACKLE",55,5.4,0.0729063208733516,0.545454545454545,0.0909090909090909,0.0727272727272727,0.0214706505005458,0.0460703189397138,"MODERATE","OBSERVED","career"
"00-0040238","END",2,1.5,-0.597252701525576,0,0,0.5,-0.140622248642815,-0.155352263251936,"INSUFFICIENT","OBSERVED","career"
"00-0040238","GUARD",6,2.16666666666667,-0.393446579575539,0.166666666666667,0,0.166666666666667,-0.140622248642815,-0.163606278727608,"INSUFFICIENT","OBSERVED","career"
"00-0040238","TACKLE",3,3,-0.35097652200299,0.333333333333333,0,0,-0.140622248642815,-0.150639118802823,"INSUFFICIENT","OBSERVED","career"
