"team","live__plays_faced","live__epa_per_play_allowed","live__success_allowed","live__explosive_pass_allowed","live__explosive_rush_allowed","man_zone__charted_mz","man_zone__man_rate","man_zone__zone_rate","coverage_family__charted_cov","coverage_family__cover_1","coverage_family__cover_2","coverage_family__cover_3","coverage_family__cover_4","coverage_family__cover_6","coverage_family__two_man","coverage_family__cover_0","pressure__charted_pressure","pressure__pressure_rate_generated","pressure__blitz_proxy_rate","pressure__pressure_without_heavy_blitz_rate","box__mean_box_deployed","box__heavy_box_rate","side","window"
"TEN",14719,0.0183094797075145,0.432366329234323,0.0777226713771316,0.0290780623683674,4716,0.371713316369805,0.628286683630195,4716,0.292196776929601,0.198261238337574,0.232400339270568,0.132103477523325,0.0392281594571671,0.0341391009329941,0.0453774385072095,5962,0.271385441127139,0.243374706474337,0.182824555518282,6.73013375295043,0.1835824809861,"defense","career"
"WAS",14531,0.0282330723298028,0.435826852935105,0.079209964902622,0.0348909228545867,4458,0.3488111260655,0.6511888739345,4458,0.283535217586362,0.151413189771198,0.257963212202782,0.166218034993271,0.0482279048900852,0.0269179004037685,0.0383580080753701,5577,0.306437152590999,0.303209610901919,0.191142191142191,6.79256594724221,0.210071942446043,"defense","career"
"ARI",3202,0.0684787699832866,0.470643347907558,0.0724547158026234,0.0427857589006871,1708,0.337822014051522,0.662177985948478,1708,0.221896955503513,0.213700234192037,0.21135831381733,0.121194379391101,0.056791569086651,0.0685011709601874,0.047423887587822,1709,0.239321240491516,0.22059684025746,0.170275014628438,6.29954614220877,0.0877458396369138,"defense","recent"
"ATL",3219,-0.00605727274400312,0.427461944703324,0.0692761727244486,0.0369680024852439,1778,0.450506186726659,0.549493813273341,1778,0.344206974128234,0.167604049493813,0.168166479190101,0.0973003374578178,0.047244094488189,0.0742407199100112,0.0320584926884139,1782,0.271604938271605,0.277372262773723,0.17003367003367,6.5897233201581,0.127272727272727,"defense","recent"
"BAL",3279,-0.0640774726062521,0.40896614821592,0.0792924672156145,0.0283623055809698,2020,0.447524752475248,0.552475247524753,2020,0.333168316831683,0.167821782178218,0.219306930693069,0.0688118811881188,0.051980198019802,0.0638613861386139,0.0504950495049505,2024,0.284584980237154,0.212944664031621,0.20899209486166,6.76073059360731,0.168949771689498,"defense","recent"
"BUF",3032,-0.0354889453359571,0.426121372031662,0.0712401055408971,0.0422163588390501,1713,0.358435493286632,0.641564506713368,1713,0.228838295388208,0.23292469352014,0.20373613543491,0.103327495621716,0.0566258026853473,0.103911266783421,0.0256859311150029,1717,0.316831683168317,0.213744903902155,0.22422830518346,6.58813559322034,0.115254237288136,"defense","recent"
"CAR",3193,0.0679724917061359,0.455057939242092,0.0676479799561541,0.0388349514563107,1597,0.37132122730119,0.62867877269881,1597,0.319348778960551,0.175328741390106,0.252348152786475,0.107075767063244,0.050093926111459,0.0231684408265498,0.0288040075140889,1602,0.213483146067416,0.282147315855181,0.132334581772784,6.5595818815331,0.105226480836237,"defense","recent"
"CHI",3102,-0.0116139426865926,0.436814958091554,0.0776918117343649,0.0386847195357834,1752,0.379566210045662,0.620433789954338,1752,0.3087899543379,0.235730593607306,0.208904109589041,0.0964611872146119,0.0422374429223744,0.0428082191780822,0.0279680365296804,1754,0.277080957810718,0.236602052451539,0.182440136830103,6.55383360522023,0.0970636215334421,"defense","recent"
"CIN",3201,0.0572984561982915,0.459856294907841,0.0821618244298657,0.0406123086535458,1767,0.425580079230334,0.574419920769666,1767,0.323712507074137,0.187323146576118,0.21675155631013,0.0848896434634974,0.0345217883418223,0.0531975099037917,0.0486700622524052,1772,0.287810383747178,0.213882618510158,0.204853273137698,6.58673061550759,0.127098321342926,"defense","recent"
"CLE",3065,-0.0968808967377815,0.381076672104403,0.06557911908646,0.0420880913539967,1664,0.478365384615385,0.521634615384615,1664,0.413461538461538,0.150240384615385,0.230769230769231,0.0588942307692308,0.0390625,0.0204326923076923,0.0444711538461538,1668,0.357314148681055,0.295563549160671,0.220623501199041,6.9281098546042,0.263327948303716,"defense","recent"
"DAL",3116,0.0378396151443269,0.449935815147625,0.0754172015404365,0.0423620025673941,1693,0.45481393975192,0.54518606024808,1693,0.38806851742469,0.203780271707029,0.1624335499114,0.0950974601299468,0.0401653868871825,0.03248670998228,0.0342587123449498,1701,0.336272780717225,0.296296296296296,0.208112874779541,6.64858299595142,0.125506072874494,"defense","recent"
"DEN",3248,-0.0661191422852339,0.398091133004927,0.0720443349753695,0.0277093596059113,1932,0.517080745341615,0.482919254658385,1932,0.386645962732919,0.145445134575569,0.156314699792961,0.0791925465838509,0.0408902691511387,0.0791925465838509,0.0512422360248447,1934,0.333505687693899,0.346432264736298,0.203205791106515,6.55004277159966,0.107784431137725,"defense","recent"
"DET",3118,-0.0371438076662257,0.416292495189224,0.09012187299551,0.0266196279666453,1873,0.473037907100908,0.526962092899092,1873,0.341697810998398,0.157501334757074,0.207688200747464,0.0854244527495996,0.0432461292044848,0.0896956753870796,0.0416444207154298,1876,0.314498933901919,0.315031982942431,0.187100213219616,7.01736745886654,0.23491773308958,"defense","recent"
"GB",3174,-0.0135684778063598,0.443289224952741,0.0730938878386894,0.0333963453056081,1744,0.287270642201835,0.712729357798165,1744,0.247133027522936,0.243692660550459,0.285550458715596,0.0888761467889908,0.0504587155963303,0.0235091743119266,0.0166284403669725,1754,0.305587229190422,0.215507411630559,0.217217787913341,6.74446202531646,0.164556962025316,"defense","recent"
"HOU",3132,-0.0814698407552056,0.393678160919541,0.0766283524904215,0.0296934865900383,1788,0.390380313199105,0.609619686800895,1788,0.335570469798658,0.170022371364653,0.185123042505593,0.147091722595078,0.0721476510067114,0.0268456375838926,0.0279642058165548,1796,0.305679287305123,0.232739420935412,0.217706013363029,6.52675585284281,0.0978260869565217,"defense","recent"
"IND",3372,-0.00849311425148505,0.436832740213523,0.07858837485172,0.0323250296559905,1852,0.36231101511879,0.63768898488121,1852,0.268358531317495,0.226781857451404,0.243520518358531,0.0869330453563715,0.0361771058315335,0.0599352051835853,0.0340172786177106,1853,0.271991365353481,0.215982721382289,0.188343227199137,6.59037900874636,0.106413994169096,"defense","recent"
"JAX",3253,-0.0101938168864528,0.424223793421457,0.0777743621272671,0.0304334460498002,1929,0.370139968895801,0.629860031104199,1929,0.276827371695179,0.216174183514774,0.210990150336962,0.095386210471747,0.0616899948159668,0.0673924313115604,0.0259201658890617,1936,0.259814049586777,0.236175710594315,0.173037190082645,6.60755048287972,0.136084284460053,"defense","recent"
"KC",3070,-0.0378357943825238,0.418241042345277,0.0631921824104235,0.0276872964169381,1756,0.490318906605923,0.509681093394077,1756,0.309225512528474,0.220387243735763,0.105922551252847,0.104214123006834,0.0415717539863326,0.116742596810934,0.0643507972665148,1759,0.324616259238204,0.325753268902786,0.191586128482092,6.61921397379913,0.112663755458515,"defense","recent"
"LAC",3122,-0.0506976041767675,0.419282511210762,0.0698270339525945,0.0323510570147341,1802,0.380133185349612,0.619866814650389,1802,0.264150943396226,0.222530521642619,0.205327413984462,0.0876803551609323,0.0521642619311876,0.0776914539400666,0.0382907880133185,1804,0.286585365853659,0.238913525498891,0.186252771618625,6.51543739279588,0.107204116638079,"defense","recent"
"LAR",3221,-0.0136542887469441,0.429059298354548,0.0785470350822726,0.0279416330332195,1850,0.403783783783784,0.596216216216216,1850,0.31027027027027,0.178918918918919,0.192972972972973,0.101621621621622,0.0654054054054054,0.0702702702702703,0.0232432432432432,1852,0.286177105831533,0.226781857451404,0.200323974082073,6.41911764705882,0.0964052287581699,"defense","recent"
