"team","man_rate","blitz_proxy_rate","pressure_rate_generated","heavy_box_rate","epa_allowed","deep_epa_allowed","middle_epa_allowed","explosive_allowed","archetype_cluster","archetype_label_status","vector_version"
"LV",0.310924369747899,0.235178571428571,0.268880557043385,0.191065792668123,0.0421905311131889,0.590686978941588,0.371578070603857,0.20653740413546,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"MIA",0.440183046415341,0.309281961471103,0.292644483362522,0.229435084241824,0.0123048281292078,0.384356322557146,0.215427609112307,0.200296685905194,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"MIN",0.261370916079436,0.314917127071823,0.280386740331492,0.185276679841897,-0.0411325507517239,0.412961124362177,0.195580062186324,0.190825013251809,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"NE",0.481903485254692,0.271300052919386,0.273721340388007,0.181630012936611,-0.0400001539454831,0.0999861188039457,0.126788069094358,0.184464027147122,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"NO",0.396953210010881,0.283496161898116,0.269190509420796,0.201451905626134,-0.014185771850604,0.403230417589744,0.222932813771586,0.188684566002835,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"NYG",0.379512831665942,0.311787072243346,0.285862426546837,0.176833610253976,0.0141617560965439,0.457183899174003,0.323345966791339,0.200735984079921,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"NYJ",0.374726237406921,0.300563777307963,0.283298097251586,0.185210780926054,-0.000488344400699439,0.383189259490921,0.263906953721786,0.189332056634411,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"PHI",0.392181856809008,0.226427962489344,0.310997442455243,0.198762775685853,-0.0246988277417733,0.488364189797203,0.266904699422473,0.186317909022505,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"PIT",0.395541958041958,0.300105671010919,0.296407185628743,0.208407643312102,-0.0303929362137946,0.398688749193184,0.0589005878827847,0.187154997416164,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"SEA",0.278447395301328,0.240313961255845,0.299265197060788,0.25312423425631,-0.0448214727794885,0.259544623395948,0.225359945024552,0.179334149147165,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"SF",0.280256183745583,0.238622166696413,0.277252453166815,0.184085806934398,-0.0254231583363274,0.400357227533928,0.231310513690752,0.190966110047377,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"TB",0.303194695599759,0.325221966458402,0.289542913515291,0.215536105032823,-0.00671208192533844,0.464598856410533,0.205167653822986,0.199998934354953,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"TEN",0.371713316369805,0.243374706474337,0.271385441127139,0.1835824809861,0.0183094797075145,0.456205086041477,0.278068273854078,0.200578931250589,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
"WAS",0.3488111260655,0.303209610901919,0.306437152590999,0.210071942446043,0.0282330723298028,0.664620608046325,0.325636475373105,0.200546113401741,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","defense-scheme-2026.1"
