"gsis_id","bucket","carries","yards_per_carry","epa_per_rush","success_rate","explosive_rate","stuff_rate","td_rate","n_opp","carries_eligible","box_coverage_rate","mean_box_faced","box_share","evidence_class","availability","source","family","window"
"00-0027155","LIGHT",133,3.99248120300752,-0.119436432731765,0.330827067669173,0.0676691729323308,0.12781954887218,0,11,180,1,6.28888888888889,0.738888888888889,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027155","NEUTRAL",35,1.62857142857143,-0.332635711938409,0.285714285714286,0,0.285714285714286,0.0571428571428571,11,180,1,6.28888888888889,0.194444444444444,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0027325","HEAVY",236,2.8135593220339,-0.207799804314887,0.309322033898305,0.0550847457627119,0.309322033898305,0.0720338983050847,22,628,1,7.3312101910828,0.375796178343949,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027325","LIGHT",123,5.86178861788618,0.0565071705815151,0.43089430894309,0.121951219512195,0.16260162601626,0.016260162601626,20,628,1,7.3312101910828,0.195859872611465,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027325","NEUTRAL",269,3.57620817843866,-0.140198378389865,0.293680297397769,0.0631970260223048,0.219330855018587,0.0223048327137546,23,628,1,7.3312101910828,0.428343949044586,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027531","HEAVY",106,2.82075471698113,-0.2749178902156,0.330188679245283,0.0471698113207547,0.207547169811321,0.0471698113207547,21,344,1,7.08720930232558,0.308139534883721,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027531","LIGHT",108,4.02777777777778,-0.241114812706925,0.333333333333333,0.0740740740740741,0.231481481481481,0,19,344,1,7.08720930232558,0.313953488372093,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027531","NEUTRAL",130,3.63076923076923,-0.188648228393196,0.323076923076923,0.0538461538461538,0.192307692307692,0,21,344,1,7.08720930232558,0.377906976744186,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027791","HEAVY",9,1.77777777777778,-0.21753235830456,0.333333333333333,0,0.222222222222222,0,3,64,1,6.625,0.140625,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0027791","LIGHT",33,2.42424242424242,-0.431625879560698,0.242424242424242,0,0.333333333333333,0,8,64,1,6.625,0.515625,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0027791","NEUTRAL",22,2.22727272727273,-0.327020995248109,0.227272727272727,0,0.318181818181818,0,8,64,1,6.625,0.34375,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0027864","HEAVY",34,2.85294117647059,-0.329968221473631,0.352941176470588,0.0588235294117647,0.264705882352941,0.117647058823529,10,156,1,6.92307692307692,0.217948717948718,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0027864","LIGHT",60,4.56666666666667,-0.0547944183517058,0.4,0.116666666666667,0.0833333333333333,0.0333333333333333,9,156,1,6.92307692307692,0.384615384615385,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0027864","NEUTRAL",62,4.58064516129032,0.0783332570980814,0.548387096774194,0.0806451612903226,0.209677419354839,0.032258064516129,11,156,1,6.92307692307692,0.397435897435897,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0027939","HEAVY",103,3.45631067961165,0.150673912340644,0.563106796116505,0.0776699029126214,0.203883495145631,0.145631067961165,25,386,1,6.88082901554404,0.266839378238342,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027939","LIGHT",167,4.92215568862275,-0.0505998899852319,0.461077844311377,0.0898203592814371,0.209580838323353,0.0538922155688623,28,386,1,6.88082901554404,0.432642487046632,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027939","NEUTRAL",116,5.12931034482759,0.16007936771189,0.577586206896552,0.112068965517241,0.181034482758621,0.0517241379310345,25,386,1,6.88082901554404,0.300518134715026,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027948","HEAVY",3,0.666666666666667,0.327977176357914,0.666666666666667,0,0.333333333333333,0.333333333333333,2,28,1,6.67857142857143,0.107142857142857,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0027948","LIGHT",11,2,-0.0271635453311981,0.363636363636364,0,0.454545454545455,0,5,28,1,6.67857142857143,0.392857142857143,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0027948","NEUTRAL",14,3.42857142857143,0.351604493474172,0.642857142857143,0,0.142857142857143,0.0714285714285714,6,28,1,6.67857142857143,0.5,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0027966","HEAVY",321,4.20872274143302,-0.0632458297343981,0.404984423676013,0.0654205607476635,0.174454828660436,0.0778816199376948,29,1076,1,7.08271375464684,0.298327137546468,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027966","LIGHT",276,5.2463768115942,-0.00157307479321153,0.427536231884058,0.0833333333333333,0.108695652173913,0.0217391304347826,31,1076,1,7.08271375464684,0.256505576208178,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027966","NEUTRAL",479,4.44050104384134,-0.0624513994733175,0.377870563674322,0.0668058455114822,0.144050104384134,0.0167014613778706,31,1076,1,7.08271375464684,0.445167286245353,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027973","HEAVY",17,0.823529411764706,-0.30428556473205,0.705882352941177,0,0.294117647058824,0.176470588235294,14,62,1,6.80645161290323,0.274193548387097,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0027973","LIGHT",28,2.35714285714286,-0.808196342055969,0.392857142857143,0,0.25,0.0714285714285714,17,62,1,6.80645161290323,0.451612903225806,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0027973","NEUTRAL",17,3.11764705882353,-0.015928765042043,0.647058823529412,0,0.235294117647059,0.0588235294117647,15,62,1,6.80645161290323,0.274193548387097,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0027974","LIGHT",20,5.05,-0.317211333036539,0.45,0.1,0.25,0,9,30,1,6.23333333333333,0.666666666666667,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0027974","NEUTRAL",10,4.4,0.340320514643099,0.6,0.2,0.2,0.1,6,30,1,6.23333333333333,0.333333333333333,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0027994","HEAVY",2,-4.5,-1.01746270532021,0,0,1,0,1,75,1,6.10666666666667,0.0266666666666667,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0027994","LIGHT",55,5.03636363636364,-0.0957883114910642,0.290909090909091,0.0727272727272727,0.0545454545454545,0,11,75,1,6.10666666666667,0.733333333333333,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0027994","NEUTRAL",18,2.61111111111111,-0.57242087535088,0.388888888888889,0.0555555555555556,0.388888888888889,0.0555555555555555,8,75,1,6.10666666666667,0.24,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0028009","HEAVY",202,3.9009900990099,-0.0906979470354524,0.336633663366337,0.0495049504950495,0.242574257425743,0.0693069306930693,20,477,1,7.32914046121593,0.423480083857442,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0028009","LIGHT",83,4.02409638554217,-0.19327937107436,0.409638554216868,0.0481927710843374,0.180722891566265,0,17,477,1,7.32914046121593,0.174004192872117,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0028009","NEUTRAL",192,4.29166666666667,-0.0524979035025028,0.40625,0.0677083333333333,0.171875,0.00520833333333332,20,477,1,7.32914046121593,0.40251572327044,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0028011","HEAVY",30,3.93333333333333,-0.198523466453965,0.3,0.166666666666667,0.333333333333333,0.0666666666666667,7,58,1,7.58620689655172,0.517241379310345,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0028011","LIGHT",9,3,-0.266162648033868,0.222222222222222,0,0.111111111111111,0,5,58,1,7.58620689655172,0.155172413793103,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
