"gsis_id","bucket","targets","catch_rate","yards_per_target","air_yards","yac","epa_per_target","success_rate","explosive_rate","n_opp","targets_eligible","targets_charted_mz","mz_coverage_rate","target_share_vs_bucket","evidence_class","availability","source","family","window"
"00-0029608","MAN",140,0.535714285714286,7.58571428571428,11.5928571428571,4.64,0.31899250294371,0.514285714285714,0.178571428571429,23,329,327,0.993920972644377,0.428134556574924,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029608","ZONE",187,0.705882352941176,10.283422459893,11.8128342245989,4.68181818181818,0.537208458997557,0.620320855614973,0.213903743315508,26,329,327,0.993920972644377,0.571865443425077,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029615","MAN",8,0.625,5.375,0.75,8.8,0.659930740355776,0.625,0.125,7,38,37,0.973684210526316,0.216216216216216,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029615","ZONE",29,0.758620689655172,4.3448275862069,0.689655172413793,5.95454545454546,-0.602959927131326,0.310344827586207,0.0689655172413793,11,38,37,0.973684210526316,0.783783783783784,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029632","MAN",83,0.542168674698795,5.69879518072289,9.08433734939759,2.88888888888889,0.177127239409651,0.457831325301205,0.0963855421686747,23,234,231,0.987179487179487,0.359307359307359,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029632","ZONE",148,0.756756756756757,8.43918918918919,8.02027027027027,4.875,0.444736842789275,0.628378378378378,0.135135135135135,21,234,231,0.987179487179487,0.640692640692641,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029638","MAN",9,0.666666666666667,7.44444444444444,11.8888888888889,2.16666666666667,0.592166277709314,0.555555555555556,0.222222222222222,6,25,24,0.96,0.375,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029638","ZONE",15,0.266666666666667,2.2,15.7333333333333,4,-0.636298566791518,0.333333333333333,0,9,25,24,0.96,0.625,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029664","MAN",59,0.508474576271186,7.59322033898305,12.5084745762712,6,0.256894602647433,0.440677966101695,0.186440677966102,15,133,133,1,0.443609022556391,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029664","ZONE",74,0.581081081081081,10.0945945945946,12.9594594594595,5.53488372093023,0.414589565121744,0.527027027027027,0.297297297297297,18,133,133,1,0.556390977443609,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029738","MAN",38,0.605263157894737,6.05263157894737,6.10526315789474,3.82608695652174,0.431673962758644,0.578947368421053,0.105263157894737,14,93,93,1,0.408602150537634,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029738","ZONE",55,0.854545454545454,10.6,5.56363636363636,7.4468085106383,0.739516003351282,0.709090909090909,0.236363636363636,19,93,93,1,0.591397849462366,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029892","MAN",60,0.716666666666667,5.75,4.16666666666667,5.37209302325581,0.305622908310199,0.566666666666667,0.1,22,231,231,1,0.25974025974026,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0029892","ZONE",171,0.771929824561404,8.46783625730994,5.66666666666667,5.77272727272727,0.266696184133313,0.596491228070175,0.157894736842105,30,231,231,1,0.74025974025974,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030035","MAN",306,0.663398692810457,7.61111111111111,9.88815789473684,3.33990147783251,0.449488996450879,0.571895424836601,0.140522875816993,30,752,744,0.98936170212766,0.411290322580645,"STRONG","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030035","ZONE",438,0.726027397260274,8.26940639269406,9.67123287671233,3.19496855345912,0.285049838062917,0.584474885844749,0.17351598173516,31,752,744,0.98936170212766,0.588709677419355,"STRONG","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0030061","MAN",278,0.62589928057554,5.66906474820144,7.07272727272727,2.8448275862069,0.179303923921799,0.496402877697842,0.0899280575539568,31,758,750,0.989445910290237,0.370666666666667,"STRONG","PRIOR_ONLY","participation","receiver_coverage","career"
