"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","deep_share","intermediate_share","short_share","behind_los_share","middle_share","coverage_rate_mz","evidence_class","availability","source","family","window"
"00-0033119","ZONE",466,0.628755364806867,-0.04438616352063,0.448497854077253,6.68139534883721,4.86689419795222,0.113733905579399,0.0772532188841201,0,0.017167381974249,0.036480686695279,2.78130841121495,14,0.0767441860465116,0.197674418604651,0.56046511627907,0.165116279069767,0.218604651162791,0.986263736263736,"STRONG","PRIOR_ONLY","participation","qb_coverage","recent"
"00-0033275","MAN",25,0.32,-0.198025273961349,0.28,11.2916666666667,7.625,0.08,0.04,0,0.04,0,2.7125,4,0.208333333333333,0.333333333333333,0.291666666666667,0.166666666666667,0.125,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage","recent"
"00-0033275","ZONE",96,0.479166666666667,-0.311748909777132,0.333333333333333,7.33720930232558,7.32608695652174,0.125,0.104166666666667,0,0.0416666666666667,0.0104166666666667,2.70705882352941,5,0.127906976744186,0.22093023255814,0.441860465116279,0.209302325581395,0.13953488372093,1,"MODERATE","PRIOR_ONLY","participation","qb_coverage","recent"
"00-0033319","MAN",54,0.5,-0.0447668428946664,0.388888888888889,10.4255319148936,5.22222222222222,0.166666666666667,0.12962962962963,0,0.0740740740740741,0.0740740740740741,3.03541666666667,6,0.234042553191489,0.234042553191489,0.446808510638298,0.0851063829787234,0.234042553191489,0.99390243902439,"WEAK","PRIOR_ONLY","participation","qb_coverage","recent"
"00-0033319","ZONE",109,0.715596330275229,0.22316552918809,0.486238532110092,8.74285714285714,4.67948717948718,0.201834862385321,0.036697247706422,0,0.036697247706422,0.0275229357798165,2.77809523809524,7,0.142857142857143,0.2,0.466666666666667,0.19047619047619,0.228571428571429,0.99390243902439,"MODERATE","PRIOR_ONLY","participation","qb_coverage","recent"
"00-0033537","MAN",191,0.492146596858639,-0.211806754881979,0.366492146596859,9.23312883435583,4.11702127659574,0.0837696335078534,0.146596858638743,0,0.0104712041884817,0.0366492146596858,2.64907975460123,11,0.141104294478528,0.226993865030675,0.484662576687117,0.147239263803681,0.153374233128834,0.986238532110092,"MODERATE","PRIOR_ONLY","participation","qb_coverage","recent"
"00-0033537","ZONE",239,0.615062761506276,-0.159951206421417,0.364016736401674,7.53153153153153,4.70068027210884,0.0878661087866109,0.0711297071129707,0,0.0209205020920502,0.0209205020920502,2.91643835616438,12,0.0855855855855856,0.211711711711712,0.518018018018018,0.184684684684685,0.193693693693694,0.986238532110092,"STRONG","PRIOR_ONLY","participation","qb_coverage","recent"
"00-0033662","MAN",193,0.549222797927461,-0.0738209494168143,0.393782383419689,8.83695652173913,5.27358490566038,0.129533678756477,0.0466321243523316,0,0.0259067357512953,0.0518134715025907,2.32195652173913,14,0.16304347826087,0.201086956521739,0.483695652173913,0.152173913043478,0.201086956521739,1,"MODERATE","PRIOR_ONLY","participation","qb_coverage","recent"
"00-0033662","ZONE",205,0.648780487804878,-0.242368890742606,0.434146341463415,5.33165829145729,4.6015037593985,0.0682926829268293,0.0292682926829268,0,0.024390243902439,0.0097560975609756,2.40025125628141,13,0.0552763819095477,0.170854271356784,0.557788944723618,0.21608040201005,0.266331658291457,1,"STRONG","PRIOR_ONLY","participation","qb_coverage","recent"
"00-0033869","MAN",65,0.661538461538462,0.152683014326794,0.461538461538461,8.92063492063492,3.27906976744186,0.123076923076923,0.0307692307692308,0,0.0153846153846154,0.0923076923076923,2.5352380952381,7,0.158730158730159,0.238095238095238,0.46031746031746,0.142857142857143,0.174603174603175,0.994252873563218,"WEAK","PRIOR_ONLY","participation","qb_coverage","recent"
"00-0033869","ZONE",108,0.62962962962963,0.0786323719163062,0.472222222222222,7.87378640776699,6.14705882352941,0.101851851851852,0.0462962962962963,0,0.0370370370370371,0.0370370370370371,2.58747572815534,8,0.0970873786407767,0.223300970873786,0.495145631067961,0.184466019417476,0.213592233009709,0.994252873563218,"MODERATE","PRIOR_ONLY","participation","qb_coverage","recent"
"00-0033873","MAN",714,0.560224089635854,-0.00622409397816346,0.42436974789916,7.55621301775148,6.405,0.110644257703081,0.0532212885154062,0,0.0252100840336135,0.0574229691876751,2.57609792284866,27,0.127218934911243,0.186390532544379,0.461538461538462,0.224852071005917,0.180473372781065,0.998870694522868,"STRONG","PRIOR_ONLY","participation","qb_coverage","recent"
"00-0033873","ZONE",1055,0.670142180094786,0.15634722089837,0.512796208530806,6.50301204819277,5.87553041018388,0.127014218009479,0.0559241706161139,0,0.0170616113744076,0.0322274881516587,2.73819095477387,27,0.0903614457831325,0.172690763052209,0.483935742971888,0.253012048192771,0.200803212851406,0.998870694522868,"STRONG","PRIOR_ONLY","participation","qb_coverage","recent"
"00-0033949","MAN",181,0.546961325966851,-0.046398263220952,0.414364640883978,8.80588235294118,3.5050505050505,0.121546961325967,0.0607734806629834,0,0.0276243093922652,0.0331491712707182,2.78929411764706,18,0.105882352941176,0.311764705882353,0.435294117647059,0.147058823529412,0.2,0.998019801980198,"MODERATE","PRIOR_ONLY","participation","qb_coverage","recent"
