"gsis_id","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","concept","frequency","plays_with_concept","charted_plays","evidence_class","availability","source","family","window"
"00-0036971",67,0.791044776119403,-0.17253602695488,0.492537313432836,1.6,5.64150943396226,0.0298507462686567,0.0298507462686567,0,0.0298507462686567,0.0447761194029851,1.61893846153846,20,"rpo",0.0317987660180351,67,2107,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0036972",1,1,1.00690175872296,1,13,0,0,0,0,0,0,1.9,1,"rpo",0.0033112582781457,1,302,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0037327",11,0.636363636363636,-0.0943452301541005,0.272727272727273,4,5,0.181818181818182,0.0909090909090909,0,0,0,2.8743,3,"rpo",0.0733333333333333,11,150,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0037834",14,0.785714285714286,0.267921184852769,0.714285714285714,1.71428571428571,14.4545454545455,0.285714285714286,0,0,0.0714285714285714,0.0714285714285714,1.88357142857143,8,"rpo",0.00981767180925666,14,1426,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0038128",4,0.5,-0.890892396051974,0.25,0.5,8.5,0,0,0,0,0,1.575,3,"rpo",0.04,4,100,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0038416",2,1,0.314509495045058,0.5,-0.5,8.5,0.5,0,0,0,0,1.75,2,"rpo",0.012987012987013,2,154,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0038476",3,0.666666666666667,0.436173919976378,0.666666666666667,10.6666666666667,0,0,0,0,0,0,1.73333333333333,3,"rpo",0.0113207547169811,3,265,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0038579",11,0.727272727272727,-0.169324481806887,0.363636363636364,-0.636363636363636,4.75,0,0,0,0,0,1.37727272727273,5,"rpo",0.0171606864274571,11,641,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0038583",2,0,-0.695563983172178,0,3,,0,0,0,0,0,2.2,1,"rpo",0.00826446280991736,2,242,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0039150",33,0.696969696969697,0.0060569557553566,0.515151515151515,1.90625,5.04347826086957,0.0606060606060606,0.0303030303030303,0,0,0.121212121212121,1.74375,18,"rpo",0.0219414893617021,33,1504,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0039152",10,0.8,-0.07593052433317,0.5,-0.9,8.875,0.1,0,0,0,0,1.393,7,"rpo",0.0160513643659711,10,623,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0039163",16,0.9375,-0.0230392163321085,0.625,0.875,5.33333333333333,0.125,0,0,0,0.0625,1.46875,10,"rpo",0.0102761721258831,16,1557,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0039164",9,0.888888888888889,0.209380153081535,0.444444444444444,1.11111111111111,4.5,0,0,0,0,0.111111111111111,1.40888888888889,8,"rpo",0.024390243902439,9,369,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0039376",5,1,-0.214084216278811,0.4,-1.2,4.6,0,0,0,0,0.2,1.44,4,"rpo",0.00959692898272553,5,521,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0039732",60,0.816666666666667,0.113639831982228,0.583333333333333,-0.283333333333334,8.10204081632653,0.05,0,0,0.0166666666666667,0.0166666666666667,1.763,19,"rpo",0.0490596892886345,60,1223,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0039851",12,1,-0.228907237081633,0.416666666666667,-1.33333333333333,4.41666666666667,0,0,0,0,0,1.46666666666667,8,"rpo",0.0131868131868132,12,910,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0039910",29,0.724137931034483,-0.0350040010445559,0.413793103448276,0.928571428571428,8.19047619047619,0.0689655172413793,0.0344827586206897,0,0,0,2.06785714285714,10,"rpo",0.0397805212620027,29,729,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0039917",1,1,-0.849480070872232,0,-1,3,0,0,0,0,0,1.4,1,"rpo",0.00251256281407035,1,398,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0039918",24,0.916666666666667,0.137582387375005,0.416666666666667,-0.833333333333333,6.95454545454546,0.0416666666666667,0,0,0,0,1.26375,14,"rpo",0.0197368421052632,24,1216,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0039923",8,0.75,0.249699288317061,0.625,-2.71428571428571,11.3333333333333,0.125,0.125,0,0,0,1.81428571428571,6,"rpo",0.0296296296296296,8,270,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0040398",2,1,0.14303227874916,0.5,-3.5,7.5,0,0,0,0,0,1.25,2,"rpo",0.0116279069767442,2,172,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0040668",2,1,0.573345488868654,1,6.5,1,0,0,0,0,0,2.25,1,"rpo",0.00851063829787234,2,235,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0040676",25,0.84,-0.292909109257843,0.24,-1.08,5.33333333333333,0,0,0,0,0,1.476,9,"rpo",0.0422297297297297,25,592,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0040691",17,0.823529411764706,0.0153798131231109,0.529411764705882,-0.0588235294117649,7,0.117647058823529,0,0,0,0,1.65882352941176,8,"rpo",0.0455764075067024,17,373,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0040704",1,1,-0.680785728618503,0,-4,5,0,0,0,0,0,1.2,1,"rpo",0.00492610837438424,1,203,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0040743",7,0.714285714285714,0.315656574800544,0.285714285714286,2.14285714285714,14,0.285714285714286,0,0,0,0,1.6,4,"rpo",0.0197183098591549,7,355,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0019596",77,0.831168831168831,-0.0492940406256473,0.428571428571429,-2.58441558441558,8.375,0.025974025974026,0,0,0,0.012987012987013,1.6081038961039,14,"screen",0.102393617021277,77,752,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0022942",9,0.888888888888889,-0.0499652304052788,0.444444444444444,-3.66666666666667,6.875,0,0,0,0,0,1.47777777777778,3,"screen",0.0927835051546392,9,97,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0023459",73,0.904109589041096,0.00652719147391006,0.438356164383562,-3.04109589041096,8.63636363636363,0.0547945205479452,0,0,0,0,1.59041095890411,13,"screen",0.139312977099237,73,524,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0026143",32,0.90625,-0.376430588516518,0.375,-3.1875,8.41379310344828,0.0625,0,0,0,0,1.81996875,10,"screen",0.0642570281124498,32,498,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0026158",17,0.764705882352941,-0.120093728800089,0.411764705882353,-3.58823529411765,8.30769230769231,0,0,0,0,0,2.02352941176471,6,"screen",0.0648854961832061,17,262,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0026300",7,1,0.458708559636891,0.571428571428571,-3,14.8571428571429,0.285714285714286,0,0,0,0,1.98571428571429,2,"screen",0.12962962962963,7,54,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0026498",190,0.847368421052632,0.0210640796161784,0.5,-2.88421052631579,10.2111801242236,0.110526315789474,0,0,0.0105263157894737,0.031578947368421,1.7637,27,"screen",0.0930916217540421,190,2041,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0027688",14,0.714285714285714,-0.364759817492865,0.142857142857143,-2.71428571428571,7.6,0,0,0,0,0,1.68192857142857,4,"screen",0.096551724137931,14,145,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0027973",18,0.666666666666667,-1.22415854012726,0.222222222222222,-3.66666666666667,7.33333333333333,0,0,0,0.111111111111111,0,1.6,6,"screen",0.0659340659340659,18,273,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0028118",10,0.9,-0.16031120386906,0.3,-4.3,8.11111111111111,0,0,0,0,0,1.63,5,"screen",0.0591715976331361,10,169,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0028986",8,0.875,-0.64431945834076,0,-1.75,4.42857142857143,0,0,0,0,0,1.8375,2,"screen",0.135593220338983,8,59,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
"00-0029263",8,0.75,-0.760084681911394,0.25,-2.57142857142857,7.66666666666667,0,0.125,0,0,0,1.9875,4,"screen",0.062015503875969,8,129,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","current_team"
